sup\jng,Xin Zhao,Jarvan IV,Vi,Wukong,Pantheon,Nocturne,Dr. Mundo,Lee Sin,Naafiri,Aatrox,Skarner,Trundle,Ambessa,Zaahen,Qiyana,Jayce,Sejuani,Malphite,Viego,Maokai,Poppy,Kha'Zix,Jax,Nidalee,Olaf,Rek'Sai,Sylas,Volibear,Zyra,Shen,Kindred,Taliyah,Diana,Gwen,Lillia,Graves,Hecarim,Ivern,Nunu & Willump,Shyvana,Zac,Darius,Brand,Karthus,Morgana,Zed,Amumu,Bel'Veth
Braum,+0.3338,+0.2559,+0.2687,+0.1330,+0.4261,+0.2523,+0.0011,+0.1245,+0.0394,+0.0369,+0.1523,+0.0990,+0.2442,+0.0115,+0.2030,+0.1847,+0.4344,+0.1962,+0.1325,+0.1816,+0.1553,+0.1200,+0.0248,+0.2681,+0.0256,-0.0838,+0.1001,+0.0527,-0.0922,+0.0516,+0.0611,+0.0974,-0.0655,+0.0485,-0.2514,+0.0509,-0.0507,-0.0097,-0.0496,-0.1329,-0.0364,-0.0997,-0.1928,-0.0780,+0.0115,+0.1183,+0.0483,-0.0107
Thresh,-0.4898,+0.1592,-0.2822,-0.3098,-0.2652,-0.2799,-0.1110,-0.1118,-0.1413,+0.1446,-0.1522,+0.0254,-0.2501,+0.0960,+0.0008,-0.0290,-0.3360,-0.0041,-0.0260,-0.2783,+0.0624,-0.0606,-0.0513,+0.0093,+0.1817,+0.0907,+0.1302,-0.0785,-0.0245,+0.1006,-0.0041,-0.0319,+0.0550,-0.0069,-0.0125,+0.0375,+0.1275,-0.0088,+0.0069,+0.1434,+0.0585,+0.1673,+0.1131,+0.0340,+0.1112,+0.1490,+0.1493,+0.0914
Renata Glasc,-0.0760,-0.1601,+0.6185,+0.0393,+0.0823,+0.3539,-0.1649,-0.0756,+0.0118,-0.0493,+0.2457,-0.1231,+0.1108,-0.0450,-0.0325,-0.0840,-0.0172,-0.0836,+0.2119,-0.2697,+0.0234,-0.0642,+0.1147,-0.0771,-0.0389,+0.0064,+0.1224,-0.0086,-0.2115,+0.0320,+0.0354,-0.0287,-0.0491,+0.0354,-0.0858,-0.0332,-0.0326,-0.0458,-0.0925,-0.0025,-0.1544,-0.0434,-0.1283,-0.0915,-0.1102,-0.0524,+0.0213,-0.0380
Pyke,-0.1611,-0.1351,-0.2646,-0.2952,-0.1932,-0.1477,-0.0291,-0.1850,-0.1522,-0.0936,+0.0173,+0.0826,-0.1231,+0.1634,-0.0484,-0.0229,-0.1907,+0.0442,-0.0347,-0.0549,-0.0432,-0.0023,-0.1414,+0.0640,+0.1149,-0.0557,+0.0643,+0.0605,+0.0804,+0.0269,+0.0217,-0.0780,+0.1578,+0.0337,+0.1342,+0.0283,+0.0502,+0.1610,+0.1566,+0.0181,+0.1419,+0.1828,+0.1520,+0.0965,+0.2274,+0.1681,+0.0482,+0.0299
Poppy,-0.2480,+0.3793,+0.5153,+0.3937,+0.1855,-0.4425,-0.2252,+0.2477,+0.4824,-0.1453,-0.2007,-0.2891,+0.3812,-0.0206,+0.1566,-0.2015,+0.0624,-0.0838,+0.0545,-0.2754,-0.0643,+0.0194,+0.1949,-0.1256,-0.1073,-0.1081,+0.2940,-0.0121,-0.3037,+0.0387,+0.1295,-0.2391,-0.0477,-0.0798,+0.0444,+0.0130,-0.0830,-0.1928,-0.2047,-0.0489,-0.0183,-0.1845,-0.3824,-0.1337,-0.2118,-0.1123,+0.0005,+0.0015
Anivia,-1.0002,-0.7295,-1.1189,-0.8227,-0.8986,-0.8811,-0.0473,-0.3693,-0.5606,-0.2307,-0.6038,-0.3991,-0.4992,-0.0894,-0.1821,-0.4800,-0.9402,+0.0191,-0.4771,-0.7172,-0.0792,-0.1020,-0.1688,-0.1773,-0.0262,-0.0885,+0.0236,-0.0300,-0.2283,+0.1514,-0.0418,-0.4672,-0.0124,-0.4245,-0.2497,+0.0473,+0.1199,-0.1318,+0.0355,+0.1218,+0.0606,+0.1373,-0.0360,-0.0174,+0.0392,-0.0680,+0.0879,+0.2115
Yuumi,-0.8657,-0.4045,-0.8904,-0.7581,-0.6387,-0.4781,-0.2658,-0.3212,-0.3851,-0.1025,-0.5890,-0.3190,-0.3033,+0.1150,-0.0346,-0.2112,-0.7049,-0.0763,-0.3433,-0.4019,-0.1520,-0.0246,-0.0909,+0.0181,-0.0376,+0.0083,-0.0300,-0.1052,-0.0882,+0.1536,-0.0587,-0.2129,-0.0157,-0.1714,-0.2110,+0.0900,+0.1917,-0.0667,+0.0995,+0.1406,+0.0179,+0.1038,+0.0470,-0.0052,+0.1479,+0.0665,+0.0446,+0.1413
Blitzcrank,-0.4030,-0.3067,-0.6774,-0.3646,-0.2028,-0.5540,-0.0422,-0.0248,-0.2512,-0.0510,-0.0086,+0.0419,-0.2939,+0.0830,+0.0362,+0.1208,-0.3175,+0.1181,-0.0757,-0.0891,+0.0604,-0.0134,+0.0456,+0.1037,+0.1057,-0.0162,-0.0718,-0.0673,+0.2285,+0.1305,+0.0511,+0.0136,+0.0204,-0.0153,+0.2203,+0.1505,+0.1210,+0.3221,+0.1399,+0.1189,+0.1189,+0.1916,+0.3462,+0.1193,+0.2042,+0.1536,+0.1081,+0.1643
Elise,-0.5055,-0.2651,-0.4200,-0.3903,-0.3999,-0.2439,-0.1381,-0.1300,-0.2356,-0.1120,-0.2439,-0.1638,-0.0993,-0.0390,-0.0310,-0.2659,-0.3944,-0.0817,-0.1790,-0.4042,+0.3005,-0.0383,-0.1460,+0.0141,+0.0237,-0.0854,+0.0827,-0.0509,-0.0738,+0.0196,+0.0659,-0.2397,-0.0366,-0.1742,+0.1028,+0.0342,+0.0456,-0.0638,+0.0025,+0.0683,-0.0295,+0.0875,+0.0828,+0.0521,-0.0480,+0.0760,+0.0271,+0.1106
Lux,-1.0153,-0.8030,-1.0602,-0.8914,-1.1441,-0.8324,-0.2392,-0.4504,-0.4647,-0.2839,-0.7293,-0.3568,-0.5463,-0.0552,-0.1781,-0.5140,-0.7671,-0.1213,-0.5698,-0.7428,-0.1186,-0.0565,-0.2263,-0.1182,-0.0050,+0.0251,-0.0026,-0.1862,-0.2008,+0.0969,-0.1268,-0.4310,-0.0859,-0.2123,-0.2196,+0.0048,+0.0549,-0.2855,+0.0313,+0.0854,+0.0007,+0.0651,-0.0673,-0.0456,+0.0759,+0.0030,+0.0338,+0.1262
Shen,-0.6174,-0.4725,-0.6380,-0.5404,-0.4291,-0.5302,-0.2480,-0.2539,-0.2534,-0.2449,-0.4260,-0.2337,-0.3231,-0.1483,-0.2598,-0.4539,-0.3293,-0.0930,-0.1375,-0.4282,-0.1423,-0.0381,-0.0387,-0.1512,-0.1071,-0.0472,-0.0591,-0.1080,-0.2392,-0.0098,-0.0170,-0.3454,-0.0694,-0.2550,-0.1802,+0.0013,-0.0949,-0.1372,-0.0406,-0.0758,-0.0508,-0.0435,-0.0610,-0.0199,-0.0491,+0.1065,+0.0393,+0.0516
Soraka,-0.7941,-0.7504,-1.0012,-0.7289,-0.7632,-0.7785,-0.2540,-0.3387,-0.4224,-0.2675,-0.4991,-0.2143,-0.5257,-0.2062,-0.2813,-0.5015,-0.5144,-0.2592,-0.4125,-0.5104,+0.0808,-0.2232,-0.1303,-0.2279,-0.0571,-0.1733,-0.1147,-0.1374,-0.3540,-0.0278,-0.0459,-0.4340,-0.1369,-0.3429,-0.1897,-0.1085,-0.1058,-0.3030,-0.0841,-0.0544,-0.0796,-0.0380,-0.0689,-0.1448,-0.0795,-0.1718,-0.1518,+0.0094
Camille,-0.7705,-0.5368,-0.7222,-0.7185,-0.4821,-0.6059,-0.0113,-0.2765,-0.3894,-0.0239,-0.2851,-0.1175,+0.0686,-0.0408,-0.1423,-0.2513,-0.4988,+0.0187,-0.3514,-0.3299,-0.2875,-0.0021,-0.2972,+0.0052,+0.0684,-0.0124,+0.0199,-0.0965,-0.1580,-0.0595,+0.0319,-0.3393,-0.0336,-0.2063,-0.0660,+0.0764,+0.0065,-0.0796,+0.0221,+0.0678,+0.0614,+0.0058,+0.0051,+0.0037,+0.0607,+0.0518,+0.0920,+0.1097
Sona,-1.0913,-0.8882,-1.2693,-0.8172,-1.0489,-0.8835,-0.2088,-0.4347,-0.5102,-0.2319,-0.7390,-0.2644,-0.6053,-0.1067,-0.2103,-0.5746,-0.7386,-0.1258,-0.4319,-0.6200,-0.0545,-0.0878,-0.2785,-0.2199,-0.0209,+0.0300,-0.1130,-0.0658,-0.2578,+0.0684,-0.1230,-0.4135,-0.0830,-0.2776,-0.1824,-0.0697,-0.0258,-0.2312,-0.0357,+0.0152,-0.0530,+0.0278,-0.0370,-0.0734,-0.0576,-0.1033,-0.0227,+0.0768
Senna,-0.5368,-0.5673,-0.6192,-0.5521,-0.4870,-0.4154,-0.1450,-0.3529,-0.3021,-0.1402,-0.3631,-0.1326,-0.2560,+0.0762,-0.1083,-0.1618,-0.3559,+0.0674,-0.2122,-0.2888,+0.1917,-0.1031,-0.1284,-0.0756,+0.0449,+0.0293,-0.0247,-0.0822,-0.0758,+0.0576,-0.1502,-0.0959,+0.0032,-0.0393,-0.1109,+0.1060,+0.0510,-0.0457,+0.0885,+0.1092,+0.0005,+0.1455,+0.0855,+0.1026,+0.1552,-0.0946,+0.1238,+0.1966
Amumu,-1.0502,-0.7447,-1.1708,-0.6175,-0.9731,-0.7655,-0.1934,-0.3218,-0.3870,-0.3572,-0.4709,-0.2809,-0.4737,-0.2495,-0.2867,-0.5175,-0.6696,-0.1762,-0.3724,-0.2902,-0.1210,-0.0211,-0.3351,-0.1967,-0.1309,-0.0596,-0.1947,-0.1541,-0.1877,-0.0757,-0.1891,-0.4296,-0.1538,-0.3492,-0.1025,-0.1214,-0.0628,-0.1293,-0.1372,-0.0707,-0.1125,-0.0081,-0.0481,-0.0589,-0.0970,-0.0268,-0.0349,+0.0592
Tahm Kench,-0.7443,-0.5091,-0.6263,-0.5295,-0.6627,-0.0550,-0.3168,-0.3010,-0.2830,-0.3138,-0.5307,-0.2366,-0.3673,-0.3897,-0.3070,-0.4978,-0.4893,-0.1589,-0.2294,-0.4747,-0.0754,-0.0878,-0.1925,-0.1922,-0.0982,-0.2110,+0.0616,-0.1476,-0.2472,-0.0954,-0.0374,-0.4273,-0.0996,-0.2551,-0.0467,-0.1450,-0.1917,-0.2491,-0.1417,-0.1682,-0.0158,-0.0817,-0.1402,-0.1372,-0.0756,-0.0604,-0.0646,-0.0377
Taric,-0.6858,-0.3765,-0.6418,-0.3610,-0.6706,-0.4372,-0.1647,-0.4098,-0.2937,-0.3304,-0.3643,-0.1708,-0.3874,-0.3209,-0.2950,-0.4301,-0.3220,-0.2145,-0.1462,-0.3209,-0.0078,-0.1198,-0.2635,-0.2374,+0.0210,-0.1820,-0.0345,-0.1429,-0.2905,-0.0309,+0.0102,-0.5106,-0.2645,-0.2531,-0.3045,-0.2079,-0.2031,-0.1114,-0.2266,-0.1447,-0.1268,-0.0914,-0.1606,-0.1409,-0.0823,-0.0431,-0.0681,-0.1265
Maokai,-0.7766,-0.8354,-0.5093,-0.3357,-0.5759,-0.3584,-0.3445,-0.3014,-0.2709,-0.1078,-0.4418,-0.0293,-0.0289,+0.3766,+0.2008,-0.0288,-0.6748,+0.1599,-0.4046,-0.2192,+0.1578,+0.2109,-0.0220,-0.0322,+0.0747,+0.2628,-0.1780,-0.1438,-0.0660,+0.2642,-0.0158,+0.0786,+0.1657,-0.0012,-0.2003,+0.2578,+0.2188,-0.3307,+0.1705,+0.1338,+0.1774,+0.2525,+0.1224,+0.1533,+0.2493,+0.1123,+0.0768,+0.3163
Galio,-0.5427,-0.5252,-0.1472,-0.5192,-0.4452,-0.0627,-0.2732,-0.2316,-0.1735,-0.3135,-0.5811,-0.2638,-0.2079,+0.0760,+0.0825,-0.1138,-0.5340,+0.1832,-0.2152,-0.2845,-0.3107,+0.1774,-0.1030,+0.1574,+0.0479,+0.1759,+0.0430,+0.0417,-0.0440,+0.2647,-0.0416,+0.0260,+0.1131,+0.0942,-0.0482,+0.2121,+0.2131,-0.0908,+0.3073,+0.2095,+0.1937,+0.1877,+0.0580,+0.2636,+0.3306,+0.1891,+0.3715,+0.3118
Pantheon,-0.8261,-0.7650,-0.7436,-0.9619,-0.6015,-0.8735,-0.1898,-0.4524,-0.3139,-0.2244,-0.8650,-0.4820,-0.1092,+0.4722,+0.2151,+0.1089,-0.7790,+0.2158,-0.3240,-0.3576,-0.3559,+0.3788,-0.0707,+0.2336,+0.2134,+0.3882,+0.2788,+0.0045,+0.0840,+0.3197,+0.1669,-0.0119,+0.4698,+0.2140,+0.1518,+0.4292,+0.5205,+0.0940,+0.4664,+0.5818,+0.4549,+0.5825,+0.3317,+0.5752,+0.5727,+0.3606,+0.6081,+0.6853
Janna,-1.0938,-0.6090,-1.1529,-0.8841,-0.9788,-0.7390,-0.2345,-0.3902,-0.4135,-0.2675,-0.6284,-0.3034,-0.4991,-0.1513,-0.2161,-0.4611,-0.7405,-0.1192,-0.3261,-0.4842,-0.0735,-0.0620,-0.1798,-0.1850,-0.0094,-0.0166,-0.0559,-0.1635,-0.2498,+0.0118,-0.0891,-0.4802,-0.1222,-0.3155,-0.1877,-0.0446,-0.0453,-0.2328,-0.1219,-0.0002,-0.0309,+0.0051,-0.0713,-0.0608,-0.0122,-0.0284,+0.0430,+0.0521
Zilean,-0.9881,-0.8819,-1.0928,-0.8157,-0.9823,-0.7088,-0.1311,-0.4446,-0.5642,-0.2745,-0.6294,-0.3379,-0.5479,-0.1586,-0.2712,-0.5602,-0.6513,-0.1951,-0.3480,-0.4993,-0.0623,-0.1416,-0.2694,-0.1752,-0.0248,-0.0735,-0.1210,-0.1476,-0.3010,+0.0506,-0.0930,-0.4918,-0.0316,-0.3274,-0.1996,-0.0428,-0.0653,-0.2668,-0.0726,-0.0101,-0.0764,-0.0466,-0.0805,-0.0218,-0.0100,-0.0755,+0.0042,+0.1645
Fiddlesticks,-0.9289,-0.9334,-1.1221,-0.7423,-1.0396,-0.7991,-0.2930,-0.4540,-0.3782,-0.3568,-0.6127,-0.3720,-0.5674,-0.2394,-0.3224,-0.4667,-0.7222,-0.1977,-0.3821,-0.5282,-0.1107,-0.0985,-0.2382,-0.2070,-0.0984,-0.1373,-0.1015,-0.1709,-0.2233,-0.0311,-0.0883,-0.5147,-0.1099,-0.3845,-0.1585,-0.0874,-0.1299,-0.2421,-0.1183,-0.0756,-0.0648,-0.0065,-0.1905,-0.1132,-0.1604,-0.1939,-0.0226,+0.0843
Gragas,-0.6365,-0.5550,-0.6279,-0.4289,-0.3255,-0.3766,-0.2750,-0.1119,-0.2454,-0.3236,-0.4022,-0.1537,-0.4388,-0.0920,-0.1415,-0.0321,-0.2357,-0.0430,-0.1596,-0.3350,+0.0531,+0.0072,+0.3422,-0.0599,-0.0214,+0.0295,-0.0923,+0.0261,-0.1506,+0.1339,-0.0714,-0.3004,-0.1035,-0.0251,+0.0931,+0.0613,-0.0168,-0.0987,+0.0246,+0.0028,+0.0083,+0.0744,-0.1383,-0.0519,+0.0943,-0.0599,+0.1150,+0.0662
