sup\top,Sion,K'Sante,Gnar,Rumble,Renekton,Ambessa,Jayce,Gwen,Ornn,Zaahen,Yorick,Jax,Aatrox,Vayne,Aurora,Kennen,Rek'Sai,Gragas,Varus,Anivia,Olaf,Malphite,Shen,Camille,Galio,Fiora,Irelia,Poppy,Volibear,Dr. Mundo,Cho'Gath,Mordekaiser,Sylas,Akali,Yasuo,Darius,Kled,Gangplank,Yone,Ryze,Garen,Sett,Urgot,Udyr,Vladimir,Maokai,Nidalee,Pantheon,Sejuani,Wukong
Thresh,-0.1590,-0.3847,-0.1170,-0.0336,-0.0943,-0.4111,-0.1233,-0.0281,-0.3460,+0.1497,+0.0136,-0.0807,+0.1124,+0.1153,-0.2239,-0.0321,+0.1126,+0.0799,-0.1663,+0.1128,+0.1909,+0.0527,+0.0814,-0.0973,-0.1407,+0.1632,+0.0507,+0.0900,-0.0106,-0.0086,+0.2891,+0.1560,+0.1375,-0.0516,+0.0908,+0.1771,+0.0224,-0.0113,-0.1020,-0.0769,+0.0722,+0.0377,+0.0973,+0.1700,-0.0461,-0.1009,+0.0133,-0.0939,-0.1369,-0.0968
Renata Glasc,-0.0444,-0.0012,+0.1250,-0.2628,+0.1194,+0.2563,-0.0445,+0.1689,+0.1256,-0.0534,-0.1224,+0.1842,+0.0409,+0.0025,+0.0099,+0.0672,-0.0157,-0.2433,-0.1158,-0.2076,-0.0727,-0.1191,+0.1025,+0.1794,+0.2239,-0.0278,-0.0491,+0.0139,-0.0194,-0.1685,+0.1149,+0.0700,+0.0965,+0.2299,+0.0042,-0.0134,+0.0203,-0.0493,+0.1014,-0.1397,-0.0905,-0.0977,-0.0352,+0.0015,-0.0889,-0.1906,-0.0722,+0.0077,-0.0689,-0.0505
Pyke,-0.2964,-0.2534,-0.0107,-0.1179,+0.0144,-0.2142,-0.0504,+0.0013,-0.1147,+0.2035,-0.0998,-0.2995,-0.0475,+0.1168,-0.0597,+0.0235,+0.0347,+0.0249,+0.0902,+0.1353,+0.0790,+0.0259,-0.0241,-0.2396,-0.0969,+0.1285,-0.0137,+0.0148,+0.0580,+0.0428,+0.1753,+0.1295,+0.0483,-0.1948,+0.0460,+0.1753,+0.0371,+0.1108,-0.1519,-0.0512,+0.1891,+0.1082,+0.1551,+0.1328,+0.0766,+0.0001,+0.0671,-0.0485,-0.0519,-0.0983
Poppy,-0.1266,+0.2815,-0.0720,-0.1438,+0.0623,+0.5427,-0.1334,-0.0400,+0.0301,-0.0157,-0.0940,+0.3576,-0.1996,-0.1149,+0.0335,-0.0356,-0.0992,-0.0763,-0.2553,-0.1648,-0.1814,-0.1384,+0.0430,+0.2894,+0.2570,+0.0307,+0.0049,-0.0503,-0.0053,-0.2156,-0.2810,-0.1864,+0.2593,+0.3923,+0.1168,-0.1872,-0.0897,-0.2204,+0.1588,-0.2759,-0.1137,-0.2038,-0.0817,-0.0995,-0.0581,-0.2530,-0.1280,+0.0483,+0.0080,+0.1665
Anivia,-0.6747,-0.6740,-0.3680,-0.6497,-0.4850,-0.7637,-0.6192,-0.6510,-0.5211,-0.0644,-0.3365,-0.2799,-0.2804,+0.1374,-0.7828,+0.0487,-0.0623,-0.0861,-0.7984,+0.0347,-0.0204,+0.0820,+0.1395,-0.0607,-0.5221,+0.0870,-0.0659,+0.0302,-0.0139,-0.0040,+0.0000,-0.0783,+0.0378,-0.3639,-0.0074,+0.1544,-0.0534,+0.1214,-0.4982,-0.0860,+0.1432,+0.0482,+0.0840,-0.0618,+0.0338,-0.4193,-0.1577,-0.5180,-0.5280,-0.4517
Yuumi,-0.5155,-0.2382,-0.2508,-0.4645,-0.4806,-0.5412,-0.3437,-0.3056,-0.2115,+0.1429,-0.2052,-0.2030,-0.2014,+0.1902,-0.4148,+0.0370,-0.0064,-0.1473,-0.3114,+0.0722,-0.0530,-0.0663,+0.1503,-0.2181,-0.4840,+0.1061,-0.0477,-0.0340,-0.0428,-0.1596,+0.0039,+0.0852,-0.0521,-0.1700,-0.0087,+0.1501,+0.0955,+0.1590,-0.2446,-0.2783,+0.1700,+0.0308,+0.1023,-0.0504,-0.0129,-0.1958,+0.0627,-0.3203,-0.3398,-0.3850
Blitzcrank,-0.3298,-0.5018,-0.0813,-0.1140,-0.1709,-0.4450,+0.0657,-0.1336,-0.4606,+0.0907,-0.0250,-0.1500,-0.1143,+0.2097,+0.0724,-0.0557,+0.0314,-0.0799,-0.0912,+0.2767,+0.0987,+0.1443,+0.1143,-0.1388,-0.2035,+0.2571,+0.1436,+0.1397,+0.0283,+0.0576,+0.1213,+0.1884,-0.0378,-0.2589,+0.0764,+0.1814,-0.0100,+0.1100,-0.1468,+0.0059,+0.2954,+0.2452,+0.2052,+0.0484,-0.0017,+0.0228,+0.1216,-0.0424,-0.0665,-0.0783
Elise,-0.4801,-0.3024,-0.0471,-0.3159,-0.1865,-0.1430,-0.3086,-0.2174,-0.1345,+0.0009,-0.0366,-0.1686,-0.0726,+0.0736,-0.2028,+0.0325,-0.0886,-0.1822,-0.3404,+0.0222,-0.0005,-0.0183,+0.0228,+0.0290,-0.2112,+0.1020,-0.0033,+0.3107,-0.0045,-0.0896,+0.1091,+0.0082,+0.0989,-0.0461,-0.0481,+0.0838,+0.0011,+0.0058,-0.1402,-0.1363,+0.0149,+0.0390,+0.0621,+0.1022,-0.0146,-0.2363,+0.0165,-0.1958,-0.2385,-0.1977
Lux,-0.7413,-0.6024,-0.3338,-0.8410,-0.5494,-0.8327,-0.6339,-0.3251,-0.3307,-0.0403,-0.1950,-0.3557,-0.3326,+0.1559,-0.6742,-0.0181,+0.0471,-0.1005,-0.6759,+0.0608,-0.0583,-0.0728,+0.0932,-0.0758,-0.5990,+0.1170,-0.0597,+0.0122,-0.1291,-0.1294,-0.1184,-0.0496,+0.0252,-0.4021,-0.0355,+0.0643,+0.0315,+0.0357,-0.4013,-0.6139,+0.0158,+0.0562,+0.0621,-0.1083,-0.0646,-0.4269,-0.0983,-0.6973,-0.4388,-0.5133
Shen,-0.2693,-0.2128,-0.2395,-0.7117,-0.2574,-0.3635,-0.5760,-0.3150,+0.0084,-0.1121,-0.0861,-0.1018,-0.1904,-0.0402,-0.3925,-0.1482,-0.0266,-0.2157,-0.5067,-0.1470,-0.1088,-0.0579,+0.0340,+0.1493,-0.3610,+0.0296,-0.1043,-0.0874,-0.0939,-0.1939,-0.0575,-0.0454,-0.0954,-0.2124,-0.0566,-0.0364,+0.0066,-0.0885,-0.1956,-0.3866,+0.0093,-0.0166,-0.0296,-0.1563,-0.0839,-0.3377,-0.1632,-0.3179,-0.2266,-0.3637
Soraka,-0.5572,-0.4054,-0.2154,-0.8091,-0.3761,-0.6329,-0.5693,-0.4462,-0.3531,-0.2054,-0.4160,-0.1485,-0.1850,-0.0320,-0.6608,-0.0942,-0.1573,-0.0505,-0.6809,-0.1615,-0.1151,-0.1973,+0.0128,-0.1720,-0.5218,+0.0158,-0.1646,+0.0869,-0.1546,-0.1757,-0.1372,-0.1256,-0.1202,-0.3221,-0.1032,-0.0223,-0.1051,-0.0082,-0.4221,-0.5679,+0.0185,-0.1557,-0.0369,-0.1766,-0.1378,-0.4068,-0.2100,-0.5307,-0.3817,-0.5322
Camille,-0.1222,-0.0871,+0.0565,-0.4386,-0.6994,+0.1731,-0.3515,-0.3280,+0.1024,-0.0286,-0.0994,-0.4323,+0.0210,+0.1664,-0.3222,-0.1571,+0.0230,-0.0758,-0.4398,+0.0273,+0.0564,+0.0628,-0.0726,-0.0468,-0.2205,-0.0002,+0.0236,-0.1849,-0.0832,+0.0435,+0.0386,+0.0259,+0.0416,-0.2283,+0.0723,-0.0009,+0.1814,+0.0525,-0.2905,-0.2504,+0.0789,+0.0803,+0.0935,+0.0629,+0.0397,-0.1658,+0.0177,-0.2498,-0.2755,-0.4190
Sona,-0.6820,-0.4896,-0.2341,-0.9699,-0.4838,-0.8281,-0.7429,-0.3809,-0.4703,-0.0774,-0.2878,-0.3461,-0.1962,+0.0192,-0.7251,-0.0386,+0.0943,-0.1148,-0.7699,-0.0239,-0.0525,-0.0942,+0.0958,-0.0752,-0.6340,+0.0318,-0.1457,+0.0738,-0.0470,-0.1206,-0.0914,-0.0075,-0.1293,-0.4523,-0.0612,+0.0457,-0.0341,+0.0082,-0.4559,-0.5452,-0.0004,-0.0075,+0.0168,-0.1810,-0.1034,-0.4072,-0.2259,-0.6781,-0.4670,-0.5350
Senna,-0.4114,-0.2620,-0.1659,-0.5256,-0.3763,-0.4163,-0.2145,-0.0930,-0.2097,+0.1444,-0.2884,-0.2132,-0.1887,+0.1818,-0.2736,+0.1673,+0.0583,-0.1333,-0.4117,+0.0134,+0.0153,+0.0711,+0.0092,-0.0732,-0.3044,+0.2509,-0.0126,+0.2819,-0.0637,-0.0400,-0.0845,-0.0291,-0.0060,-0.1823,+0.0440,+0.1480,+0.0734,+0.0972,-0.1466,-0.2352,+0.1669,+0.1329,+0.0943,+0.0221,+0.0374,-0.0936,-0.0824,-0.2478,-0.1421,-0.2770
Amumu,-0.4264,-0.3425,-0.1618,-0.8464,-0.6356,-0.6331,-0.5981,-0.4976,-0.2712,-0.2450,-0.3085,-0.4322,-0.3727,-0.0235,-0.6640,-0.0138,-0.0687,-0.1598,-0.7454,-0.0902,-0.1425,-0.1265,-0.0978,-0.1235,-0.6337,+0.0659,-0.2029,-0.0737,-0.1571,-0.1250,-0.0778,-0.1274,-0.1951,-0.2914,-0.1369,-0.0236,-0.1098,+0.0250,-0.3382,-0.4644,+0.0292,-0.0783,+0.0254,-0.1997,-0.0417,-0.2283,-0.2484,-0.6711,-0.4474,-0.4563
Tahm Kench,-0.4169,-0.5117,-0.2910,-0.6556,-0.2826,-0.3495,-0.5157,-0.2807,-0.0959,-0.3453,-0.1616,-0.2348,-0.2356,-0.1310,-0.4923,-0.0766,-0.2092,-0.0243,-0.6876,-0.3073,-0.1345,-0.0855,-0.0139,-0.0018,-0.3210,-0.0345,-0.1075,-0.0551,-0.1903,-0.2514,-0.0316,-0.1042,+0.0582,-0.2319,+0.0065,-0.0700,-0.1093,-0.0065,-0.3240,-0.5181,-0.0879,-0.1950,-0.0628,-0.1866,-0.1006,-0.3802,-0.1955,-0.5163,-0.4004,-0.4390
Taric,-0.3691,-0.2669,-0.2073,-0.7101,-0.2745,-0.3536,-0.4794,-0.2323,-0.0192,-0.3032,-0.0977,-0.2708,-0.2314,-0.1349,-0.4696,-0.0723,-0.1927,-0.1266,-0.6307,-0.2936,+0.0247,-0.1738,+0.0579,-0.0534,-0.2779,-0.0318,-0.1900,-0.0349,-0.1515,-0.1518,-0.1864,-0.1249,-0.0679,-0.2676,-0.0374,-0.0705,-0.1938,-0.1181,-0.2970,-0.5495,-0.2137,-0.1116,-0.1132,-0.1383,-0.1566,-0.2731,-0.2624,-0.5431,-0.2955,-0.3694
Maokai,-0.4845,-0.4430,-0.2649,-0.3081,-0.4394,-0.2270,-0.1389,-0.0846,-0.2293,+0.4135,-0.0538,-0.1282,-0.2768,+0.2260,-0.0911,+0.2699,+0.3171,+0.0912,-0.1641,+0.3803,+0.0287,+0.1669,+0.1861,-0.0508,-0.1632,+0.0592,+0.1506,+0.2631,-0.0368,-0.1197,-0.0043,+0.1107,-0.1166,+0.0171,+0.2152,+0.2204,+0.3252,+0.1975,+0.0547,-0.0844,+0.2189,+0.1467,+0.3316,+0.1650,+0.2348,+0.0306,+0.0654,-0.1500,-0.2216,-0.0065
Galio,-0.4350,-0.5832,-0.3292,+1.1138,-0.3757,-0.5070,-0.2491,+0.0280,-0.2641,+0.0713,-0.1478,-0.2296,-0.4765,+0.1669,-0.0910,+0.1286,+0.1576,+0.0242,-0.1284,+0.1825,+0.0015,+0.1984,+0.1772,+0.0433,-0.1840,+0.1799,+0.1640,-0.1366,+0.1000,-0.0869,+0.1164,+0.0339,+0.1214,+0.2074,+0.3095,+0.1247,+0.2378,+0.2772,-0.1591,+0.0127,+0.1970,+0.1165,+0.2428,+0.1457,+0.2799,+0.0185,+0.1987,-0.0599,-0.1308,-0.0931
Pantheon,-0.7112,-0.5782,-0.3971,-0.3156,-0.4597,-0.4710,-0.0620,+0.0055,-0.5357,+0.5083,-0.1333,-0.2641,-0.3810,+0.5604,-0.2792,+0.1268,+0.4456,-0.1293,-0.0770,+0.5954,+0.1387,+0.2610,+0.1397,-0.0314,-0.1989,+0.3413,+0.4514,-0.0193,+0.1824,+0.1361,+0.1672,+0.3166,+0.3754,+0.1145,+0.6068,+0.5394,+0.5589,+0.4738,+0.2297,-0.0140,+0.5670,+0.4374,+0.6023,+0.3720,+0.4040,+0.1959,+0.3725,+0.0244,-0.0981,-0.1325
Janna,-0.6736,-0.6080,-0.2311,-0.9158,-0.4587,-0.6527,-0.5642,-0.3896,-0.4694,-0.1150,-0.2808,-0.2468,-0.2131,+0.0435,-0.7041,-0.0539,+0.0323,-0.1558,-0.7690,-0.1501,-0.0510,-0.0941,+0.0292,-0.1361,-0.5380,+0.1074,-0.1416,+0.0395,-0.1358,-0.1623,-0.0827,-0.0447,-0.0649,-0.3104,+0.0005,+0.0356,-0.0385,-0.0448,-0.3491,-0.5581,-0.0972,-0.0111,-0.0059,-0.1339,-0.0629,-0.3433,-0.2038,-0.6519,-0.4689,-0.5921
Zilean,-0.6121,-0.5560,-0.2035,-0.8082,-0.4296,-0.7059,-0.6425,-0.4310,-0.4321,-0.1193,-0.2704,-0.3042,-0.2341,+0.1150,-0.7086,-0.0375,-0.0452,-0.0418,-0.7036,-0.1462,-0.0365,-0.1493,+0.0990,-0.0780,-0.5407,+0.0793,-0.0894,+0.0235,-0.1163,-0.0527,-0.0854,-0.0624,-0.1141,-0.3764,+0.0131,-0.0172,-0.0244,+0.1018,-0.3835,-0.5718,+0.0009,-0.0465,+0.0392,-0.1075,-0.0844,-0.2966,-0.1637,-0.6430,-0.4315,-0.5469
Fiddlesticks,-0.5471,-0.4812,-0.1518,-0.9269,-0.5340,-0.7487,-0.5294,-0.5289,-0.4163,-0.2100,-0.2358,-0.3245,-0.3404,+0.0504,-0.7848,-0.0487,-0.1119,-0.0918,-0.7577,-0.1855,-0.1288,-0.1589,-0.0012,-0.1828,-0.7420,-0.0071,-0.1355,-0.0611,-0.1608,-0.2227,-0.1081,-0.1601,-0.1055,-0.3242,-0.0855,+0.0289,-0.0602,+0.0394,-0.4544,-0.6046,-0.0790,-0.0800,-0.0013,-0.2290,-0.0634,-0.4060,-0.1971,-0.6839,-0.4955,-0.5318
Gragas,-0.5244,-0.4932,-0.2901,-0.4210,+0.1361,-0.6389,+0.0669,-0.0527,-0.3594,-0.0519,-0.3226,+0.4322,-0.4205,+0.0917,-0.2785,+0.0926,+0.0594,-0.0359,-0.3466,-0.0643,-0.0441,+0.0103,+0.1689,-0.1001,-0.3152,+0.0800,+0.0427,+0.0828,+0.0404,-0.1712,-0.2109,-0.1044,-0.0669,-0.1510,+0.1125,+0.0778,+0.0098,+0.1376,-0.2071,-0.3003,+0.0990,-0.0690,+0.1001,-0.0650,-0.0535,-0.1901,-0.0401,-0.1881,-0.1011,-0.2501
