jng\jng,Xin Zhao,Jarvan IV,Vi,Wukong,Pantheon,Nocturne,Dr. Mundo,Lee Sin,Naafiri,Aatrox,Skarner,Trundle,Ambessa,Zaahen,Qiyana,Jayce,Sejuani,Malphite,Viego,Maokai,Poppy,Kha'Zix,Jax,Nidalee,Olaf,Rek'Sai,Sylas,Volibear,Zyra,Shen,Kindred,Taliyah,Diana,Gwen,Lillia,Graves,Hecarim,Ivern,Nunu & Willump,Shyvana,Zac,Darius,Brand,Karthus,Morgana,Zed,Amumu,Bel'Veth
Poppy,-0.0737,+0.4727,+0.8139,+0.3815,+0.4577,-0.4716,-0.2366,+0.3055,+0.7024,-0.0482,-0.2590,-0.3374,+0.4617,+0.1916,+0.3182,-0.1143,+0.1279,+0.0543,+0.0236,-0.2128,+0.0000,+0.0693,+0.2675,-0.0805,-0.0283,+0.0843,+0.3836,+0.0460,-0.2281,+0.1612,+0.1689,-0.0924,+0.0657,+0.1082,-0.0061,+0.1655,+0.0544,-0.1583,-0.0181,+0.0944,+0.1214,-0.0383,-0.2415,+0.0106,-0.0035,-0.0226,+0.0876,+0.1069
Kha'Zix,-0.2503,-0.4285,-0.6507,-0.3930,-0.6695,-0.3400,-0.1436,-0.2864,-0.2957,-0.0267,-0.3298,-0.1736,-0.2727,+0.1254,-0.0673,-0.1385,-0.3909,-0.0255,-0.2260,-0.3970,-0.0693,+0.0000,-0.1668,-0.1005,+0.0153,+0.0499,-0.0788,-0.0728,-0.0722,+0.0520,-0.0964,-0.1426,-0.0386,-0.0977,-0.1294,+0.0582,+0.0652,-0.1034,+0.0890,+0.1004,+0.1003,+0.0366,-0.0094,+0.0510,-0.0061,-0.0869,+0.0034,+0.1091
Jax,+0.8152,-0.1215,-0.1609,-0.0137,-0.1284,+0.0023,-0.0965,-0.1538,-0.1526,+0.0247,-0.1872,+0.1040,+0.1868,+0.3892,+0.0663,-0.0670,-0.0864,+0.0788,+0.0935,-0.2360,-0.2675,+0.1668,+0.0000,+0.0755,+0.2444,+0.2403,+0.1596,+0.1280,-0.0209,+0.0654,+0.1737,+0.0022,+0.1356,+0.6681,-0.2051,+0.1913,+0.1604,-0.0296,+0.1849,+0.2452,+0.1246,+0.3359,+0.0785,+0.2378,+0.3200,+0.0449,+0.2896,+0.1687
Nidalee,-0.4182,-0.1660,-0.6239,-0.3433,-0.5029,-0.3884,+0.0845,-0.6554,-0.1377,+0.0045,-0.0313,+0.1641,-0.0746,+0.1616,+0.1189,+0.0185,-0.4156,+0.1225,-0.3144,-0.0961,+0.0805,+0.1005,-0.0755,+0.0000,+0.1503,+0.2143,+0.1683,+0.0292,+0.0719,+0.1790,-0.1589,-0.0676,+0.1027,+0.1452,-0.0452,+0.1300,+0.2130,+0.0320,+0.1034,+0.0999,+0.0921,+0.2557,+0.1765,+0.1492,+0.2248,+0.1018,+0.1104,+0.0899
Olaf,-0.4251,-0.5487,-0.4762,-0.3148,-0.3519,-0.3776,-0.0886,-0.2809,-0.2736,-0.1260,-0.0159,-0.1174,-0.2400,-0.0032,-0.2118,-0.2797,-0.2467,-0.0077,-0.0449,-0.2363,+0.0283,-0.0153,-0.2444,-0.1503,+0.0000,+0.0156,-0.0903,-0.1528,-0.1067,+0.1040,-0.1176,-0.1054,-0.0300,-0.0111,-0.1968,+0.0143,-0.0102,-0.0270,+0.0620,+0.0423,-0.0606,+0.0966,-0.0347,+0.0241,+0.0196,-0.1402,+0.1153,+0.0749
Rek'Sai,-0.7439,-0.3644,-0.7730,-0.7518,-0.6544,-0.4615,-0.1985,-0.1913,-0.4784,-0.1194,-0.5037,-0.1356,-0.2848,+0.0388,+0.1115,-0.2867,-0.5977,+0.0508,-0.5427,-0.5073,-0.0843,-0.0499,-0.2403,-0.2143,-0.0156,+0.0000,-0.0716,-0.0578,-0.2280,+0.0521,-0.0844,-0.2623,+0.0189,-0.1284,-0.2848,+0.0391,+0.0500,-0.2681,+0.0429,+0.0489,+0.0307,+0.0806,+0.0286,-0.1060,+0.0196,+0.0495,+0.0379,+0.1341
Sylas,-0.3749,-0.0941,-0.2137,-0.3876,-0.4819,-0.1427,+0.0329,-0.3206,-0.2688,-0.1117,-0.2521,-0.1119,-0.1567,+0.0353,+0.0562,-0.0732,-0.1830,+0.1776,-0.2087,+0.1826,-0.3836,+0.0788,-0.1596,-0.1683,+0.0903,+0.0716,+0.0000,-0.0416,-0.0922,+0.0809,+0.0134,-0.1081,+0.0934,-0.0526,-0.1299,+0.0184,+0.0622,-0.0385,+0.1223,-0.0167,+0.0679,+0.1326,-0.0605,+0.1233,-0.0315,+0.1034,+0.1991,+0.1428
Volibear,+0.0750,-0.2021,-0.0287,-0.0989,-0.1811,-0.2106,-0.0601,-0.1573,-0.1156,-0.1351,-0.2262,-0.1129,+0.0737,+0.0311,-0.0532,-0.0314,-0.1947,+0.0848,-0.1182,+0.0028,-0.0460,+0.0728,-0.1280,-0.0292,+0.1528,+0.0578,+0.0416,+0.0000,+0.0083,+0.1129,+0.1117,-0.0051,+0.0926,+0.0135,-0.0638,+0.0814,+0.0650,+0.0341,+0.0382,+0.0887,+0.1333,+0.1179,+0.1079,+0.0379,+0.1773,+0.0057,+0.1170,+0.1655
Zyra,-0.5727,-0.8139,-0.3397,-0.0558,-0.3976,-0.6424,-0.3200,-0.2280,-0.0917,+0.0064,-0.2048,+0.1977,-0.1189,+0.3045,+0.1505,+0.1037,-0.2984,+0.1223,-0.3542,-0.1005,+0.2281,+0.0722,+0.0209,-0.0719,+0.1067,+0.2280,+0.0922,-0.0083,+0.0000,+0.2623,+0.1074,-0.0210,-0.0914,+0.0585,-0.0112,+0.3441,+0.1209,+0.1225,+0.1520,+0.2008,+0.1229,+0.2303,+0.0752,-0.1650,+0.3157,+0.0240,+0.1117,+0.2032
Shen,-0.5823,-0.4525,-0.6723,-0.5761,-0.4555,-0.5297,-0.2281,-0.2678,-0.3120,-0.2360,-0.4458,-0.2089,-0.3318,-0.1336,-0.2622,-0.4651,-0.3502,-0.1083,-0.1421,-0.4457,-0.1612,-0.0520,-0.0654,-0.1790,-0.1040,-0.0521,-0.0809,-0.1129,-0.2623,+0.0000,-0.0080,-0.3909,-0.0957,-0.2600,-0.1748,+0.0243,-0.0838,-0.1378,-0.0339,-0.0782,-0.0456,-0.0560,-0.0653,-0.0193,-0.0387,+0.1103,+0.0367,+0.0522
