top\sup,Nautilus,Lulu,Bard,Nami,Neeko,Karma,Seraphine,Rakan,Alistar,Rell,Leona,Milio,Braum,Thresh,Renata Glasc,Pyke,Poppy,Anivia,Yuumi,Blitzcrank,Elise,Lux,Shen,Soraka,Camille,Sona,Senna,Amumu,Tahm Kench,Taric,Maokai,Galio,Pantheon,Janna,Zilean,Fiddlesticks,Gragas
Yorick,-0.2583,-0.0516,-0.1211,+0.0455,-0.0805,-0.2177,-0.1768,-0.2536,-0.1054,-0.2965,-0.2917,+0.0917,-0.0508,-0.0136,+0.1224,+0.0998,+0.0940,+0.3365,+0.2052,+0.0250,+0.0366,+0.1950,+0.0861,+0.4160,+0.0994,+0.2878,+0.2884,+0.3085,+0.1616,+0.0977,+0.0538,+0.1478,+0.1333,+0.2808,+0.2704,+0.2358,+0.3226
Jax,-0.0871,-0.1192,+0.1515,+0.0751,+0.0211,+0.2184,+0.1008,-0.1911,-0.3886,-0.0475,+0.1319,+0.0108,-0.0995,+0.0807,-0.1842,+0.2995,-0.3576,+0.2799,+0.2030,+0.1500,+0.1686,+0.3557,+0.1018,+0.1485,+0.4323,+0.3461,+0.2132,+0.4322,+0.2348,+0.2708,+0.1282,+0.2296,+0.2641,+0.2468,+0.3042,+0.3245,-0.4322
Aatrox,-0.1028,-0.1331,+0.0691,-0.0712,+0.1400,-0.1320,+0.1305,-0.2036,+0.0003,+0.1100,-0.0834,+0.0206,-0.0507,-0.1124,-0.0409,+0.0475,+0.1996,+0.2804,+0.2014,+0.1143,+0.0726,+0.3326,+0.1904,+0.1850,-0.0210,+0.1962,+0.1887,+0.3727,+0.2356,+0.2314,+0.2768,+0.4765,+0.3810,+0.2131,+0.2341,+0.3404,+0.4205
Vayne,-0.3016,-0.1870,-0.1822,-0.0970,-0.5349,-0.2812,-0.1664,-0.1627,+0.0436,-0.2472,-0.1673,-0.1411,+0.1699,-0.1153,-0.0025,-0.1168,+0.1149,-0.1374,-0.1902,-0.2097,-0.0736,-0.1559,+0.0402,+0.0320,-0.1664,-0.0192,-0.1818,+0.0235,+0.1310,+0.1349,-0.2260,-0.1669,-0.5604,-0.0435,-0.1150,-0.0504,-0.0917
Aurora,-0.5661,-0.1458,-0.0180,+0.1401,-0.0062,-0.1215,+0.1683,-0.4949,-0.5949,-0.6093,-0.4246,+0.1713,-0.2870,+0.2239,-0.0099,+0.0597,-0.0335,+0.7828,+0.4148,-0.0724,+0.2028,+0.6742,+0.3925,+0.6608,+0.3222,+0.7251,+0.2736,+0.6640,+0.4923,+0.4696,+0.0911,+0.0910,+0.2792,+0.7041,+0.7086,+0.7848,+0.2785
Kennen,-0.2211,-0.1517,-0.0493,+0.0705,-0.2747,-0.0516,-0.0802,-0.1102,-0.1563,-0.1718,-0.1724,-0.0020,-0.1157,+0.0321,-0.0672,-0.0235,+0.0356,-0.0487,-0.0370,+0.0557,-0.0325,+0.0181,+0.1482,+0.0942,+0.1571,+0.0386,-0.1673,+0.0138,+0.0766,+0.0723,-0.2699,-0.1286,-0.1268,+0.0539,+0.0375,+0.0487,-0.0926
Rek'Sai,-0.3763,-0.1046,-0.1509,-0.0413,-0.4280,-0.2954,-0.2508,-0.2996,-0.1918,-0.5699,-0.3591,-0.1854,+0.0873,-0.1126,+0.0157,-0.0347,+0.0992,+0.0623,+0.0064,-0.0314,+0.0886,-0.0471,+0.0266,+0.1573,-0.0230,-0.0943,-0.0583,+0.0687,+0.2092,+0.1927,-0.3171,-0.1576,-0.4456,-0.0323,+0.0452,+0.1119,-0.0594
Gragas,-0.1602,-0.1446,-0.1390,-0.2057,-0.1814,+0.0447,-0.1038,-0.1091,-0.0166,+0.1122,-0.1337,-0.1334,-0.1822,-0.0799,+0.2433,-0.0249,+0.0763,+0.0861,+0.1473,+0.0799,+0.1822,+0.1005,+0.2157,+0.0505,+0.0758,+0.1148,+0.1333,+0.1598,+0.0243,+0.1266,-0.0912,-0.0242,+0.1293,+0.1558,+0.0418,+0.0918,+0.0359
Varus,-0.7689,+0.0149,-0.4339,+0.0345,-0.4451,-0.2490,+0.1976,-0.5908,-0.6248,-0.8871,-0.8227,+0.1090,-0.2341,+0.1663,+0.1158,-0.0902,+0.2553,+0.7984,+0.3114,+0.0912,+0.3404,+0.6759,+0.5067,+0.6809,+0.4398,+0.7699,+0.4117,+0.7454,+0.6876,+0.6307,+0.1641,+0.1284,+0.0770,+0.7690,+0.7036,+0.7577,+0.3466
Anivia,-0.5099,-0.1733,-0.2000,-0.2523,-0.5882,-0.1914,-0.1283,-0.3305,-0.3152,-0.5144,-0.6078,-0.0375,+0.0308,-0.1128,+0.2076,-0.1353,+0.1648,-0.0347,-0.0722,-0.2767,-0.0222,-0.0608,+0.1470,+0.1615,-0.0273,+0.0239,-0.0134,+0.0902,+0.3073,+0.2936,-0.3803,-0.1825,-0.5954,+0.1501,+0.1462,+0.1855,+0.0643
Olaf,-0.1037,-0.2280,-0.1631,-0.1216,-0.3067,-0.2151,-0.0093,-0.1620,-0.0068,-0.1800,-0.0158,-0.1013,-0.0030,-0.1909,+0.0727,-0.0790,+0.1814,+0.0204,+0.0530,-0.0987,+0.0005,+0.0583,+0.1088,+0.1151,-0.0564,+0.0525,-0.0153,+0.1425,+0.1345,-0.0247,-0.0287,-0.0015,-0.1387,+0.0510,+0.0365,+0.1288,+0.0441
Malphite,-0.3530,-0.2172,-0.1152,-0.2828,-0.4076,-0.1471,-0.0363,-0.2871,-0.1269,-0.3587,-0.3591,+0.0328,-0.1486,-0.0527,+0.1191,-0.0259,+0.1384,-0.0820,+0.0663,-0.1443,+0.0183,+0.0728,+0.0579,+0.1973,-0.0628,+0.0942,-0.0711,+0.1265,+0.0855,+0.1738,-0.1669,-0.1984,-0.2610,+0.0941,+0.1493,+0.1589,-0.0103
Shen,+0.0234,-0.3936,-0.0052,-0.1073,-0.2905,-0.0843,-0.1381,-0.1454,-0.1473,-0.0667,+0.0881,-0.0469,-0.1176,-0.0814,-0.1025,+0.0241,-0.0430,-0.1395,-0.1503,-0.1143,-0.0228,-0.0932,-0.0340,-0.0128,+0.0726,-0.0958,-0.0092,+0.0978,+0.0139,-0.0579,-0.1861,-0.1772,-0.1397,-0.0292,-0.0990,+0.0012,-0.1689
Camille,-0.1544,-0.1774,-0.0074,-0.0375,+0.0509,-0.0516,-0.0248,-0.2538,-0.0443,-0.2111,+0.0513,+0.0438,+0.0922,+0.0973,-0.1794,+0.2396,-0.2894,+0.0607,+0.2181,+0.1388,-0.0290,+0.0758,-0.1493,+0.1720,+0.0468,+0.0752,+0.0732,+0.1235,+0.0018,+0.0534,+0.0508,-0.0433,+0.0314,+0.1361,+0.0780,+0.1828,+0.1001
Galio,-0.3602,-0.2482,-0.1568,+0.0620,+0.0229,-0.1570,+0.2101,-0.3994,-0.4956,-0.4599,-0.1556,+0.1398,-0.3777,+0.1407,-0.2239,+0.0969,-0.2570,+0.5221,+0.4840,+0.2035,+0.2112,+0.5990,+0.3610,+0.5218,+0.2205,+0.6340,+0.3044,+0.6337,+0.3210,+0.2779,+0.1632,+0.1840,+0.1989,+0.5380,+0.5407,+0.7420,+0.3152
Fiora,-0.1451,-0.0058,-0.1233,-0.1128,-0.1779,-0.2766,-0.1171,-0.0084,-0.1357,-0.1570,-0.0991,-0.0473,+0.0655,-0.1632,+0.0278,-0.1285,-0.0307,-0.0870,-0.1061,-0.2571,-0.1020,-0.1170,-0.0296,-0.0158,+0.0002,-0.0318,-0.2509,-0.0659,+0.0345,+0.0318,-0.0592,-0.1799,-0.3413,-0.1074,-0.0793,+0.0071,-0.0800
Irelia,-0.4293,-0.2691,-0.1124,-0.0482,-0.5020,-0.1397,-0.1609,-0.2468,-0.3516,-0.3182,-0.3600,+0.1287,-0.1638,-0.0507,+0.0491,+0.0137,-0.0049,+0.0659,+0.0477,-0.1436,+0.0033,+0.0597,+0.1043,+0.1646,-0.0236,+0.1457,+0.0126,+0.2029,+0.1075,+0.1900,-0.1506,-0.1640,-0.4514,+0.1416,+0.0894,+0.1355,-0.0427
Poppy,-0.2885,-0.5678,-0.2988,-0.2578,-0.5458,-0.4719,-0.1806,+0.3641,+0.4010,+0.4047,+0.0727,-0.0904,-0.0074,-0.0900,-0.0139,-0.0148,+0.0503,-0.0302,+0.0340,-0.1397,-0.3107,-0.0122,+0.0874,-0.0869,+0.1849,-0.0738,-0.2819,+0.0737,+0.0551,+0.0349,-0.2631,+0.1366,+0.0193,-0.0395,-0.0235,+0.0611,-0.0828
Volibear,-0.3667,-0.3176,+0.0126,-0.1267,-0.1975,-0.2059,-0.0514,-0.2681,-0.0578,-0.3224,-0.3378,-0.1120,-0.0353,+0.0106,+0.0194,-0.0580,+0.0053,+0.0139,+0.0428,-0.0283,+0.0045,+0.1291,+0.0939,+0.1546,+0.0832,+0.0470,+0.0637,+0.1571,+0.1903,+0.1515,+0.0368,-0.1000,-0.1824,+0.1358,+0.1163,+0.1608,-0.0404
Dr. Mundo,-0.2267,-0.2081,-0.1229,-0.0743,-0.2024,-0.1749,-0.1998,-0.4321,-0.3120,-0.2379,-0.2376,-0.0868,+0.0610,+0.0086,+0.1685,-0.0428,+0.2156,+0.0040,+0.1596,-0.0576,+0.0896,+0.1294,+0.1939,+0.1757,-0.0435,+0.1206,+0.0400,+0.1250,+0.2514,+0.1518,+0.1197,+0.0869,-0.1361,+0.1623,+0.0527,+0.2227,+0.1712
Cho'Gath,-0.4077,-0.2710,-0.2887,-0.2050,-0.3185,-0.3231,-0.1709,-0.2814,-0.2042,-0.2822,-0.2293,-0.1439,+0.1696,-0.2891,-0.1149,-0.1753,+0.2810,-0.0000,-0.0039,-0.1213,-0.1091,+0.1184,+0.0575,+0.1372,-0.0386,+0.0914,+0.0845,+0.0778,+0.0316,+0.1864,+0.0043,-0.1164,-0.1672,+0.0827,+0.0854,+0.1081,+0.2109
Mordekaiser,-0.3108,-0.2436,-0.2399,-0.2112,-0.5781,-0.1941,-0.2914,-0.2711,-0.1387,-0.2348,-0.2247,-0.1487,+0.0631,-0.1560,-0.0700,-0.1295,+0.1864,+0.0783,-0.0852,-0.1884,-0.0082,+0.0496,+0.0454,+0.1256,-0.0259,+0.0075,+0.0291,+0.1274,+0.1042,+0.1249,-0.1107,-0.0339,-0.3166,+0.0447,+0.0624,+0.1601,+0.1044
Sylas,-0.2750,-0.2303,-0.0991,-0.1102,-0.0524,-0.1988,+0.1578,-0.1536,+0.5431,-0.5137,-0.2371,-0.1170,-0.1070,-0.1375,-0.0965,-0.0483,-0.2593,-0.0378,+0.0521,+0.0378,-0.0989,-0.0252,+0.0954,+0.1202,-0.0416,+0.1293,+0.0060,+0.1951,-0.0582,+0.0679,+0.1166,-0.1214,-0.3754,+0.0649,+0.1141,+0.1055,+0.0669
Akali,-0.4798,-0.2055,+0.0367,-0.0569,-0.3086,-0.2557,+0.0412,-0.5029,-0.5051,-0.3244,-0.1201,+0.1103,-0.1232,+0.0516,-0.2299,+0.1948,-0.3923,+0.3639,+0.1700,+0.2589,+0.0461,+0.4021,+0.2124,+0.3221,+0.2283,+0.4523,+0.1823,+0.2914,+0.2319,+0.2676,-0.0171,-0.2074,-0.1145,+0.3104,+0.3764,+0.3242,+0.1510
Yasuo,-0.2486,-0.2346,-0.0162,-0.0532,-0.4386,-0.3349,+0.0143,-0.3130,-0.3533,-0.3548,-0.3594,-0.0695,-0.1131,-0.0908,-0.0042,-0.0460,-0.1168,+0.0074,+0.0087,-0.0764,+0.0481,+0.0355,+0.0566,+0.1032,-0.0723,+0.0612,-0.0440,+0.1369,-0.0065,+0.0374,-0.2152,-0.3095,-0.6068,-0.0005,-0.0131,+0.0855,-0.1125
Darius,-0.4011,-0.4251,-0.2740,-0.3399,-0.4483,-0.4723,-0.1956,-0.2005,+0.1294,-0.3033,-0.2346,-0.2527,+0.1544,-0.1771,+0.0134,-0.1753,+0.1872,-0.1544,-0.1501,-0.1814,-0.0838,-0.0643,+0.0364,+0.0223,+0.0009,-0.0457,-0.1480,+0.0236,+0.0700,+0.0705,-0.2204,-0.1247,-0.5394,-0.0356,+0.0172,-0.0289,-0.0778
Kled,-0.3219,-0.2034,-0.1531,-0.0639,-0.5252,-0.4381,-0.2108,-0.4248,-0.4467,-0.4173,-0.3062,-0.0876,+0.0246,-0.0224,-0.0203,-0.0371,+0.0897,+0.0534,-0.0955,+0.0100,-0.0011,-0.0315,-0.0066,+0.1051,-0.1814,+0.0341,-0.0734,+0.1098,+0.1093,+0.1938,-0.3252,-0.2378,-0.5589,+0.0385,+0.0244,+0.0602,-0.0098
Gangplank,-0.2509,-0.2324,-0.2567,-0.1730,-0.4110,-0.2369,-0.1419,-0.2378,-0.1685,-0.2830,-0.1943,-0.2079,-0.1088,+0.0113,+0.0493,-0.1108,+0.2204,-0.1214,-0.1590,-0.1100,-0.0058,-0.0357,+0.0885,+0.0082,-0.0525,-0.0082,-0.0972,-0.0250,+0.0065,+0.1181,-0.1975,-0.2772,-0.4738,+0.0448,-0.1018,-0.0394,-0.1376
Yone,-0.3464,-0.0436,-0.1211,-0.0341,-0.3503,-0.1013,+0.0393,-0.4556,-0.4652,-0.4194,-0.3859,-0.0100,-0.1849,+0.1020,-0.1014,+0.1519,-0.1588,+0.4982,+0.2446,+0.1468,+0.1402,+0.4013,+0.1956,+0.4221,+0.2905,+0.4559,+0.1466,+0.3382,+0.3240,+0.2970,-0.0547,+0.1591,-0.2297,+0.3491,+0.3835,+0.4544,+0.2071
Ryze,-0.6140,-0.2245,-0.1494,+0.0313,-0.2841,-0.2968,-0.0027,-0.3821,-0.6191,-0.5894,-0.3898,+0.0567,+0.0084,+0.0769,+0.1397,+0.0512,+0.2759,+0.0860,+0.2783,-0.0059,+0.1363,+0.6139,+0.3866,+0.5679,+0.2504,+0.5452,+0.2352,+0.4644,+0.5181,+0.5495,+0.0844,-0.0127,+0.0140,+0.5581,+0.5718,+0.6046,+0.3003
Garen,-0.3912,-0.2359,-0.3616,-0.1978,-0.5147,-0.4753,-0.2687,-0.2123,-0.2768,-0.3685,-0.1999,-0.1547,+0.2076,-0.0722,+0.0905,-0.1891,+0.1137,-0.1432,-0.1700,-0.2954,-0.0149,-0.0158,-0.0093,-0.0185,-0.0789,+0.0004,-0.1669,-0.0292,+0.0879,+0.2137,-0.2189,-0.1970,-0.5670,+0.0972,-0.0009,+0.0790,-0.0990
Sett,-0.3759,-0.1941,-0.2613,-0.0369,-0.4521,-0.4012,-0.1853,-0.3419,-0.2437,-0.3624,-0.3143,-0.0785,-0.1015,-0.0377,+0.0977,-0.1082,+0.2038,-0.0482,-0.0308,-0.2452,-0.0390,-0.0562,+0.0166,+0.1557,-0.0803,+0.0075,-0.1329,+0.0783,+0.1950,+0.1116,-0.1467,-0.1165,-0.4374,+0.0111,+0.0465,+0.0800,+0.0690
Urgot,-0.3601,-0.2624,-0.2079,-0.1567,-0.6708,-0.3804,-0.2310,-0.3727,-0.2658,-0.3912,-0.4073,-0.1898,-0.1570,-0.0973,+0.0352,-0.1551,+0.0817,-0.0840,-0.1023,-0.2052,-0.0621,-0.0621,+0.0296,+0.0369,-0.0935,-0.0168,-0.0943,-0.0254,+0.0628,+0.1132,-0.3316,-0.2428,-0.6023,+0.0059,-0.0392,+0.0013,-0.1001
Udyr,-0.4870,-0.2283,-0.2432,-0.1466,-0.4748,-0.3254,-0.1413,-0.3102,-0.2235,-0.4130,-0.5233,-0.0248,-0.0819,-0.1700,-0.0015,-0.1328,+0.0995,+0.0618,+0.0504,-0.0484,-0.1022,+0.1083,+0.1563,+0.1766,-0.0629,+0.1810,-0.0221,+0.1997,+0.1866,+0.1383,-0.1650,-0.1457,-0.3720,+0.1339,+0.1075,+0.2290,+0.0650
Vladimir,-0.3643,-0.2981,-0.2263,-0.2476,-0.5811,-0.3158,-0.1597,-0.3541,-0.3559,-0.3612,-0.2891,-0.1107,+0.0150,+0.0461,+0.0889,-0.0766,+0.0581,-0.0338,+0.0129,+0.0017,+0.0146,+0.0646,+0.0839,+0.1378,-0.0397,+0.1034,-0.0374,+0.0417,+0.1006,+0.1566,-0.2348,-0.2799,-0.4040,+0.0629,+0.0844,+0.0634,+0.0535
Maokai,-0.5156,-0.2279,-0.2040,-0.0010,-0.4176,-0.2190,-0.0333,-0.2940,-0.4539,-0.4910,-0.5508,-0.2749,-0.1252,+0.1009,+0.1906,-0.0001,+0.2530,+0.4193,+0.1958,-0.0228,+0.2363,+0.4269,+0.3377,+0.4068,+0.1658,+0.4072,+0.0936,+0.2283,+0.3802,+0.2731,-0.0306,-0.0185,-0.1959,+0.3433,+0.2966,+0.4060,+0.1901
Nidalee,-0.4748,-0.2370,-0.2201,-0.2558,-0.4536,-0.4448,-0.1365,-0.4589,-0.4957,-0.4295,-0.2923,-0.1432,-0.2470,-0.0133,+0.0722,-0.0671,+0.1280,+0.1577,-0.0627,-0.1216,-0.0165,+0.0983,+0.1632,+0.2100,-0.0177,+0.2259,+0.0824,+0.2484,+0.1955,+0.2624,-0.0654,-0.1987,-0.3725,+0.2038,+0.1637,+0.1971,+0.0401
Pantheon,-0.6249,-0.1978,-0.2208,-0.1232,-0.4574,-0.2379,-0.0533,-0.4629,-0.5834,-0.5854,-0.5038,+0.1029,-0.2233,+0.0939,-0.0077,+0.0485,-0.0483,+0.5180,+0.3203,+0.0424,+0.1958,+0.6973,+0.3179,+0.5307,+0.2498,+0.6781,+0.2478,+0.6711,+0.5163,+0.5431,+0.1500,+0.0599,-0.0244,+0.6519,+0.6430,+0.6839,+0.1881
Sejuani,-0.2787,-0.1063,-0.0168,+0.0932,-0.3226,-0.1987,-0.0235,-0.3447,-0.4534,-0.4258,-0.3418,-0.0339,-0.2503,+0.1369,+0.0689,+0.0519,-0.0080,+0.5280,+0.3398,+0.0665,+0.2385,+0.4388,+0.2266,+0.3817,+0.2755,+0.4670,+0.1421,+0.4474,+0.4004,+0.2955,+0.2216,+0.1308,+0.0981,+0.4689,+0.4315,+0.4955,+0.1011
Wukong,-0.4891,-0.2583,-0.0870,-0.0323,-0.3879,-0.2645,+0.0628,-0.3826,-0.3943,-0.5348,-0.4124,+0.1007,-0.0408,+0.0968,+0.0505,+0.0983,-0.1665,+0.4517,+0.3850,+0.0783,+0.1977,+0.5133,+0.3637,+0.5322,+0.4190,+0.5350,+0.2770,+0.4563,+0.4390,+0.3694,+0.0065,+0.0931,+0.1325,+0.5921,+0.5469,+0.5318,+0.2501
