jng\sup,Nautilus,Lulu,Bard,Nami,Neeko,Karma,Seraphine,Rakan,Alistar,Rell,Leona,Milio,Braum,Thresh,Renata Glasc,Pyke,Poppy,Anivia,Yuumi,Blitzcrank,Elise,Lux,Shen,Soraka,Camille,Sona,Senna,Amumu,Tahm Kench,Taric,Maokai,Galio,Pantheon,Janna,Zilean,Fiddlesticks,Gragas
Skarner,-0.0768,-0.0868,+0.1227,+0.0558,+0.1224,+0.1609,+0.3907,-0.4173,-0.2698,-0.3470,-0.0817,+0.0269,-0.1523,+0.1522,-0.2457,-0.0173,+0.2007,+0.6038,+0.5890,+0.0086,+0.2439,+0.7293,+0.4260,+0.4991,+0.2851,+0.7390,+0.3631,+0.4709,+0.5307,+0.3643,+0.4418,+0.5811,+0.8650,+0.6284,+0.6294,+0.6127,+0.4022
Trundle,+0.0109,+0.1034,-0.2335,-0.0422,-0.1670,-0.2232,+0.0799,-0.3361,-0.1134,-0.0471,-0.0364,+0.0572,-0.0990,-0.0254,+0.1231,-0.0826,+0.2891,+0.3991,+0.3190,-0.0419,+0.1638,+0.3568,+0.2337,+0.2143,+0.1175,+0.2644,+0.1326,+0.2809,+0.2366,+0.1708,+0.0293,+0.2638,+0.4820,+0.3034,+0.3379,+0.3720,+0.1537
Ambessa,-0.4385,-0.0337,-0.0235,+0.1406,-0.1923,-0.1008,+0.1978,-0.3468,-0.3277,-0.4527,-0.2853,+0.1768,-0.2442,+0.2501,-0.1108,+0.1231,-0.3812,+0.4992,+0.3033,+0.2939,+0.0993,+0.5463,+0.3231,+0.5257,-0.0686,+0.6053,+0.2560,+0.4737,+0.3673,+0.3874,+0.0289,+0.2079,+0.1092,+0.4991,+0.5479,+0.5674,+0.4388
Zaahen,-0.4357,-0.1028,-0.1776,+0.0065,-0.4388,-0.2073,-0.0002,-0.3386,-0.2930,-0.4086,-0.4716,+0.0446,-0.0115,-0.0960,+0.0450,-0.1634,+0.0206,+0.0894,-0.1150,-0.0830,+0.0390,+0.0552,+0.1483,+0.2062,+0.0408,+0.1067,-0.0762,+0.2495,+0.3897,+0.3209,-0.3766,-0.0760,-0.4722,+0.1513,+0.1586,+0.2394,+0.0920
Qiyana,-0.4628,-0.0178,+0.0532,+0.0137,-0.4205,-0.0538,+0.1213,-0.3489,-0.2500,-0.5521,-0.3938,+0.0288,-0.2030,-0.0008,+0.0325,+0.0484,-0.1566,+0.1821,+0.0346,-0.0362,+0.0310,+0.1781,+0.2598,+0.2813,+0.1423,+0.2103,+0.1083,+0.2867,+0.3070,+0.2950,-0.2008,-0.0825,-0.2151,+0.2161,+0.2712,+0.3224,+0.1415
Jayce,-0.5533,+0.0703,-0.2919,-0.0289,-0.3288,-0.1547,+0.0594,-0.3091,-0.3378,-0.4986,-0.7283,+0.1553,-0.1847,+0.0290,+0.0840,+0.0229,+0.2015,+0.4800,+0.2112,-0.1208,+0.2659,+0.5140,+0.4539,+0.5015,+0.2513,+0.5746,+0.1618,+0.5175,+0.4978,+0.4301,+0.0288,+0.1138,-0.1089,+0.4611,+0.5602,+0.4667,+0.0321
Sejuani,+0.0105,+0.1024,+0.1929,+0.3584,+0.1622,+0.1226,+0.2106,-0.2144,-0.4531,-0.2566,-0.1688,+0.1016,-0.4344,+0.3360,+0.0172,+0.1907,-0.0624,+0.9402,+0.7049,+0.3175,+0.3944,+0.7671,+0.3293,+0.5144,+0.4988,+0.7386,+0.3559,+0.6696,+0.4893,+0.3220,+0.6748,+0.5340,+0.7790,+0.7405,+0.6513,+0.7222,+0.2357
Malphite,-0.3412,-0.1583,-0.1146,-0.1869,-0.3090,-0.1172,-0.0104,-0.2910,-0.1836,-0.3666,-0.4122,+0.0534,-0.1962,+0.0041,+0.0836,-0.0442,+0.0838,-0.0191,+0.0763,-0.1181,+0.0817,+0.1213,+0.0930,+0.2592,-0.0187,+0.1258,-0.0674,+0.1762,+0.1589,+0.2145,-0.1599,-0.1832,-0.2158,+0.1192,+0.1951,+0.1977,+0.0430
Viego,-0.0694,-0.0315,+0.1535,+0.1912,+0.2426,+0.1089,+0.1628,-0.2295,-0.3491,-0.2704,-0.0790,+0.2124,-0.1325,+0.0260,-0.2119,+0.0347,-0.0545,+0.4771,+0.3433,+0.0757,+0.1790,+0.5698,+0.1375,+0.4125,+0.3514,+0.4319,+0.2122,+0.3724,+0.2294,+0.1462,+0.4046,+0.2152,+0.3240,+0.3261,+0.3480,+0.3821,+0.1596
Maokai,-0.3542,-0.1635,-0.0250,+0.2037,+0.0499,+0.0708,+0.1471,-0.1837,-0.4627,-0.3165,-0.4943,-0.2471,-0.1816,+0.2783,+0.2697,+0.0549,+0.2754,+0.7172,+0.4019,+0.0891,+0.4042,+0.7428,+0.4282,+0.5104,+0.3299,+0.6200,+0.2888,+0.2902,+0.4747,+0.3209,+0.2192,+0.2845,+0.3576,+0.4842,+0.4993,+0.5282,+0.3350
Poppy,-0.2803,-0.5250,-0.1446,-0.1499,-0.3088,-0.3532,-0.0600,+0.5112,+0.4692,+0.5075,+0.1392,-0.0641,-0.1553,-0.0624,-0.0234,+0.0432,+0.0643,+0.0792,+0.1520,-0.0604,-0.3005,+0.1186,+0.1423,-0.0808,+0.2875,+0.0545,-0.1917,+0.1210,+0.0754,+0.0078,-0.1578,+0.3107,+0.3559,+0.0735,+0.0623,+0.1107,-0.0531
Kha'Zix,-0.2743,+0.0112,-0.0855,-0.0265,-0.2007,-0.1467,+0.0324,-0.2703,-0.3985,-0.3215,-0.2876,+0.0733,-0.1200,+0.0606,+0.0642,+0.0023,-0.0194,+0.1020,+0.0246,+0.0134,+0.0383,+0.0565,+0.0381,+0.2232,+0.0021,+0.0878,+0.1031,+0.0211,+0.0878,+0.1198,-0.2109,-0.1774,-0.3788,+0.0620,+0.1416,+0.0985,-0.0072
Jax,-0.2486,-0.1627,-0.0022,-0.0128,-0.1332,-0.0819,+0.0244,-0.2132,-0.3578,-0.1212,+0.0154,+0.0395,-0.0248,+0.0513,-0.1147,+0.1414,-0.1949,+0.1688,+0.0909,-0.0456,+0.1460,+0.2263,+0.0387,+0.1303,+0.2972,+0.2785,+0.1284,+0.3351,+0.1925,+0.2635,+0.0220,+0.1030,+0.0707,+0.1798,+0.2694,+0.2382,-0.3422
Nidalee,-0.3688,-0.1526,-0.1716,-0.2188,-0.2593,-0.3287,-0.0953,-0.3744,-0.4138,-0.3308,-0.1706,-0.0856,-0.2681,-0.0093,+0.0771,-0.0640,+0.1256,+0.1773,-0.0181,-0.1037,-0.0141,+0.1182,+0.1512,+0.2279,-0.0052,+0.2199,+0.0756,+0.1967,+0.1922,+0.2374,+0.0322,-0.1574,-0.2336,+0.1850,+0.1752,+0.2070,+0.0599
Olaf,-0.1090,-0.2329,-0.1487,-0.1490,-0.3486,-0.2569,-0.0216,-0.1690,+0.0690,-0.2162,-0.0963,-0.0668,-0.0256,-0.1817,+0.0389,-0.1149,+0.1073,+0.0262,+0.0376,-0.1057,-0.0237,+0.0050,+0.1071,+0.0571,-0.0684,+0.0209,-0.0449,+0.1309,+0.0982,-0.0210,-0.0747,-0.0479,-0.2134,+0.0094,+0.0248,+0.0984,+0.0214
Rek'Sai,-0.3366,-0.1211,-0.0619,+0.0015,-0.4442,-0.2036,-0.1687,-0.3193,-0.1841,-0.5431,-0.3316,-0.1822,+0.0838,-0.0907,-0.0064,+0.0557,+0.1081,+0.0885,-0.0083,+0.0162,+0.0854,-0.0251,+0.0472,+0.1733,+0.0124,-0.0300,-0.0293,+0.0596,+0.2110,+0.1820,-0.2628,-0.1759,-0.3882,+0.0166,+0.0735,+0.1373,-0.0295
Sylas,-0.1803,-0.2058,-0.0588,-0.0739,+0.0981,-0.1364,+0.1941,-0.0746,+0.6453,-0.4255,-0.1454,-0.1199,-0.1001,-0.1302,-0.1224,-0.0643,-0.2940,-0.0236,+0.0300,+0.0718,-0.0827,+0.0026,+0.0591,+0.1147,-0.0199,+0.1130,+0.0247,+0.1947,-0.0616,+0.0345,+0.1780,-0.0430,-0.2788,+0.0559,+0.1210,+0.1015,+0.0923
Volibear,-0.2768,-0.2822,+0.0107,-0.1603,-0.0296,-0.2250,-0.0364,-0.2830,+0.0067,-0.2624,-0.2237,-0.1073,-0.0527,+0.0785,+0.0086,-0.0605,+0.0121,+0.0300,+0.1052,+0.0673,+0.0509,+0.1862,+0.1080,+0.1374,+0.0965,+0.0658,+0.0822,+0.1541,+0.1476,+0.1429,+0.1438,-0.0417,-0.0045,+0.1635,+0.1476,+0.1709,-0.0261
Zyra,-0.4188,-0.0420,-0.2379,-0.1059,-0.4415,-0.2360,-0.0974,-0.3596,-0.1523,-0.4617,-0.6095,+0.0176,+0.0922,+0.0245,+0.2115,-0.0804,+0.3037,+0.2283,+0.0882,-0.2285,+0.0738,+0.2008,+0.2392,+0.3540,+0.1580,+0.2578,+0.0758,+0.1877,+0.2472,+0.2905,+0.0660,+0.0440,-0.0840,+0.2498,+0.3010,+0.2233,+0.1506
Shen,-0.1396,-0.3228,-0.0756,-0.1014,-0.4781,-0.1526,-0.1192,-0.2162,-0.1950,-0.2088,-0.0545,-0.0334,-0.0516,-0.1006,-0.0320,-0.0269,-0.0387,-0.1514,-0.1536,-0.1305,-0.0196,-0.0969,+0.0098,+0.0278,+0.0595,-0.0684,-0.0576,+0.0757,+0.0954,+0.0309,-0.2642,-0.2647,-0.3197,-0.0118,-0.0506,+0.0311,-0.1339
Kindred,-0.2999,-0.2361,-0.1824,-0.0995,-0.1638,-0.1971,-0.2024,-0.1196,-0.0757,+0.0723,+0.0910,-0.1242,-0.0611,+0.0041,-0.0354,-0.0217,-0.1295,+0.0418,+0.0587,-0.0511,-0.0659,+0.1268,+0.0170,+0.0459,-0.0319,+0.1230,+0.1502,+0.1891,+0.0374,-0.0102,+0.0158,+0.0416,-0.1669,+0.0891,+0.0930,+0.0883,+0.0714
Taliyah,-0.5477,-0.2878,-0.3512,-0.0745,-0.3712,-0.2839,-0.0095,-0.0748,-0.3233,-0.3836,-0.5088,+0.1152,-0.0974,+0.0319,+0.0287,+0.0780,+0.2391,+0.4672,+0.2129,-0.0136,+0.2397,+0.4310,+0.3454,+0.4340,+0.3393,+0.4135,+0.0959,+0.4296,+0.4273,+0.5106,-0.0786,-0.0260,+0.0119,+0.4802,+0.4918,+0.5147,+0.3004
Diana,-0.5218,-0.1807,-0.2201,-0.1932,-0.4538,-0.3364,-0.1383,-0.4066,-0.2386,-0.3539,-0.2798,-0.0607,+0.0655,-0.0550,+0.0491,-0.1578,+0.0477,+0.0124,+0.0157,-0.0204,+0.0366,+0.0859,+0.0694,+0.1369,+0.0336,+0.0830,-0.0032,+0.1538,+0.0996,+0.2645,-0.1657,-0.1131,-0.4698,+0.1222,+0.0316,+0.1099,+0.1035
Gwen,-0.3768,-0.0429,-0.0651,-0.1080,-0.2544,-0.3338,-0.0289,-0.4558,-0.4039,-0.4203,-0.2828,+0.0810,-0.0485,+0.0069,-0.0354,-0.0337,+0.0798,+0.4245,+0.1714,+0.0153,+0.1742,+0.2123,+0.2550,+0.3429,+0.2063,+0.2776,+0.0393,+0.3492,+0.2551,+0.2531,+0.0012,-0.0942,-0.2140,+0.3155,+0.3274,+0.3845,+0.0251
Lillia,-0.3840,-0.2459,-0.3807,-0.0564,-0.2908,-0.4485,-0.1041,-0.3279,-0.1460,-0.1828,-0.1978,-0.2363,+0.2514,+0.0125,+0.0858,-0.1342,-0.0444,+0.2497,+0.2110,-0.2203,-0.1028,+0.2196,+0.1802,+0.1897,+0.0660,+0.1824,+0.1109,+0.1025,+0.0467,+0.3045,+0.2003,+0.0482,-0.1518,+0.1877,+0.1996,+0.1585,-0.0931
Graves,-0.4477,-0.1566,-0.1796,-0.0886,-0.5176,-0.2629,-0.0762,-0.3194,-0.3192,-0.3951,-0.3215,-0.0835,-0.0509,-0.0375,+0.0332,-0.0283,-0.0130,-0.0473,-0.0900,-0.1505,-0.0342,-0.0048,-0.0013,+0.1085,-0.0764,+0.0697,-0.1060,+0.1214,+0.1450,+0.2079,-0.2578,-0.2121,-0.4292,+0.0446,+0.0428,+0.0874,-0.0613
Hecarim,-0.4287,-0.2635,-0.1534,-0.1424,-0.5427,-0.2108,-0.0726,-0.3615,-0.1970,-0.4087,-0.3399,-0.1007,+0.0507,-0.1275,+0.0326,-0.0502,+0.0830,-0.1199,-0.1917,-0.1210,-0.0456,-0.0549,+0.0949,+0.1058,-0.0065,+0.0258,-0.0510,+0.0628,+0.1917,+0.2031,-0.2188,-0.2131,-0.5205,+0.0453,+0.0653,+0.1299,+0.0168
Ivern,-0.6038,-0.1393,-0.3111,-0.0363,-0.1792,-0.3530,-0.1629,-0.3031,-0.4832,-0.4922,-0.3974,-0.1444,+0.0097,+0.0088,+0.0458,-0.1610,+0.1928,+0.1318,+0.0667,-0.3221,+0.0638,+0.2855,+0.1372,+0.3030,+0.0796,+0.2312,+0.0457,+0.1293,+0.2491,+0.1114,+0.3307,+0.0908,-0.0940,+0.2328,+0.2668,+0.2421,+0.0987
Nunu & Willump,-0.5714,-0.1865,-0.2239,-0.1291,-0.5590,-0.4090,-0.0986,-0.2697,-0.2527,-0.4198,-0.4130,-0.0293,+0.0496,-0.0069,+0.0925,-0.1566,+0.2047,-0.0355,-0.0995,-0.1399,-0.0025,-0.0313,+0.0406,+0.0841,-0.0221,+0.0357,-0.0885,+0.1372,+0.1417,+0.2266,-0.1705,-0.3073,-0.4664,+0.1219,+0.0726,+0.1183,-0.0246
Shyvana,-0.3024,-0.2305,-0.2407,-0.1931,-0.6627,-0.4465,-0.2182,-0.2991,-0.1694,-0.3406,-0.1537,-0.1231,+0.1329,-0.1434,+0.0025,-0.0181,+0.0489,-0.1218,-0.1406,-0.1189,-0.0683,-0.0854,+0.0758,+0.0544,-0.0678,-0.0152,-0.1092,+0.0707,+0.1682,+0.1447,-0.1338,-0.2095,-0.5818,+0.0002,+0.0101,+0.0756,-0.0028
Zac,-0.4320,-0.0976,-0.0661,-0.2291,-0.4873,-0.3402,-0.2034,-0.3149,-0.2992,-0.2942,-0.2528,-0.1408,+0.0364,-0.0585,+0.1544,-0.1419,+0.0183,-0.0606,-0.0179,-0.1189,+0.0295,-0.0007,+0.0508,+0.0796,-0.0614,+0.0530,-0.0005,+0.1125,+0.0158,+0.1268,-0.1774,-0.1937,-0.4549,+0.0309,+0.0764,+0.0648,-0.0083
Darius,-0.4358,-0.3911,-0.2900,-0.3156,-0.5284,-0.4584,-0.1964,-0.2631,+0.0337,-0.3462,-0.2997,-0.2415,+0.0997,-0.1673,+0.0434,-0.1828,+0.1845,-0.1373,-0.1038,-0.1916,-0.0875,-0.0651,+0.0435,+0.0380,-0.0058,-0.0278,-0.1455,+0.0081,+0.0817,+0.0914,-0.2525,-0.1877,-0.5825,-0.0051,+0.0466,+0.0065,-0.0744
Brand,-0.5285,-0.2073,-0.3432,-0.2813,-0.3606,-0.4370,-0.3009,-0.2710,-0.0852,-0.3818,-0.2907,-0.1345,+0.1928,-0.1131,+0.1283,-0.1520,+0.3824,+0.0360,-0.0470,-0.3462,-0.0828,+0.0673,+0.0610,+0.0689,-0.0051,+0.0370,-0.0855,+0.0481,+0.1402,+0.1606,-0.1224,-0.0580,-0.3317,+0.0713,+0.0805,+0.1905,+0.1383
Karthus,-0.4763,-0.3491,-0.2594,-0.1814,-0.5740,-0.3737,-0.1815,-0.3378,-0.4151,-0.4188,-0.3455,-0.1522,+0.0780,-0.0340,+0.0915,-0.0965,+0.1337,+0.0174,+0.0052,-0.1193,-0.0521,+0.0456,+0.0199,+0.1448,-0.0037,+0.0734,-0.1026,+0.0589,+0.1372,+0.1409,-0.1533,-0.2636,-0.5752,+0.0608,+0.0218,+0.1132,+0.0519
Morgana,-0.4599,-0.4400,-0.3430,-0.3475,-0.6250,-0.5871,-0.3272,-0.2697,-0.1655,-0.3876,-0.1645,-0.2013,-0.0115,-0.1112,+0.1102,-0.2274,+0.2118,-0.0392,-0.1479,-0.2042,+0.0480,-0.0759,+0.0491,+0.0795,-0.0607,+0.0576,-0.1552,+0.0970,+0.0756,+0.0823,-0.2493,-0.3306,-0.5727,+0.0122,+0.0100,+0.1604,-0.0943
Zed,-0.4436,-0.2178,-0.1124,-0.0450,-0.2188,-0.2263,-0.1540,-0.2487,-0.2188,-0.4791,-0.2094,-0.1965,-0.1183,-0.1490,+0.0524,-0.1681,+0.1123,+0.0680,-0.0665,-0.1536,-0.0760,-0.0030,-0.1065,+0.1718,-0.0518,+0.1033,+0.0946,+0.0268,+0.0604,+0.0431,-0.1123,-0.1891,-0.3606,+0.0284,+0.0755,+0.1939,+0.0599
Amumu,-0.3393,-0.0762,-0.2667,-0.2234,-0.4916,-0.2979,-0.2278,-0.2184,-0.2950,-0.3643,-0.2424,-0.2287,-0.0483,-0.1493,-0.0213,-0.0482,-0.0005,-0.0879,-0.0446,-0.1081,-0.0271,-0.0338,-0.0393,+0.1518,-0.0920,+0.0227,-0.1238,+0.0349,+0.0646,+0.0681,-0.0768,-0.3715,-0.6081,-0.0430,-0.0042,+0.0226,-0.1150
Bel'Veth,-0.3854,-0.2315,-0.1428,-0.2047,-0.5898,-0.3503,-0.2014,-0.3063,-0.1835,-0.2435,-0.1510,-0.1180,+0.0107,-0.0914,+0.0380,-0.0299,-0.0015,-0.2115,-0.1413,-0.1643,-0.1106,-0.1262,-0.0516,-0.0094,-0.1097,-0.0768,-0.1966,-0.0592,+0.0377,+0.1265,-0.3163,-0.3118,-0.6853,-0.0521,-0.1645,-0.0843,-0.0662
