top\top,Sion,K'Sante,Gnar,Rumble,Renekton,Ambessa,Jayce,Gwen,Ornn,Zaahen,Yorick,Jax,Aatrox,Vayne,Aurora,Kennen,Rek'Sai,Gragas,Varus,Anivia,Olaf,Malphite,Shen,Camille,Galio,Fiora,Irelia,Poppy,Volibear,Dr. Mundo,Cho'Gath,Mordekaiser,Sylas,Akali,Yasuo,Darius,Kled,Gangplank,Yone,Ryze,Garen,Sett,Urgot,Udyr,Vladimir,Maokai,Nidalee,Pantheon,Sejuani,Wukong
Yorick,+0.1954,-0.0107,+0.1427,+0.2030,-0.7356,+0.1647,+0.8583,-0.3286,+0.1685,+0.1914,+0.0000,-1.0370,-0.1718,+0.3398,+0.1303,+0.2283,+0.1252,+0.2992,+0.1048,+0.3393,+0.0906,+0.2533,-0.0937,-0.1138,+0.1675,+0.0528,-0.0579,+0.1736,-0.0618,+0.0796,-0.7393,-0.2638,+0.2498,-0.0791,+0.2528,+0.2472,+0.1221,+0.3245,-0.0034,+0.0924,+0.2672,-0.0064,+0.3260,+0.1356,+0.2339,+0.0461,+0.0443,+0.1390,+0.0378,+0.1515
Jax,-0.2954,-0.1790,+0.0968,-0.1904,+0.4639,+0.5416,-0.0317,+1.5139,-0.0810,+0.6467,+1.0370,+0.0000,+0.1035,+0.3295,+0.2305,-0.3319,+0.3868,-0.8749,+0.3458,+0.2651,+0.4111,+0.0611,+0.0543,+0.3626,+0.2559,+0.3453,+0.2687,-0.2315,+0.2882,+0.0715,+0.2684,+0.3989,+0.2983,+0.1567,+0.3771,+0.4063,+0.3496,-0.2561,+0.5339,+0.2173,-0.0211,+0.3531,+0.1943,+0.1629,+0.1550,+0.1367,+0.2328,+0.2382,+0.2999,+0.3065
Aatrox,+1.2214,+0.4279,-0.2040,+0.7448,+0.0963,+0.7752,+0.0138,-0.0842,+0.4435,+0.1072,+0.1718,-0.1035,+0.0000,+0.1443,+0.1600,-0.1675,+0.2018,+0.4607,+0.1337,+0.3061,+0.0929,+0.3206,+0.1639,-0.1740,+0.6626,-0.1317,+0.1768,+0.1628,+0.1361,+0.4356,+0.3058,+0.1576,+0.2789,+0.2073,+0.2478,+0.0264,+0.1330,+0.2525,-0.0980,+0.1440,+0.2048,+0.0750,+0.2124,+0.4773,+0.2148,+0.3089,+0.0634,+0.3810,+0.1408,+0.1758
Vayne,-0.0836,-0.1306,+0.1191,-0.8797,-0.1829,-0.5578,-0.4970,-0.3470,-0.0882,+0.0540,-0.3398,-0.3295,-0.1443,+0.0000,-0.6086,-0.0957,-0.0585,-0.1786,-0.7146,-0.1254,+0.0122,-0.1452,+0.0961,-0.1507,-0.2940,-0.0247,-0.1889,-0.0097,-0.1113,-0.0102,-0.1458,-0.1088,-0.0943,-0.3377,-0.0729,-0.0362,-0.0349,-0.0733,-0.3749,-0.4451,-0.0962,-0.0478,-0.0489,-0.2003,-0.1286,-0.2831,-0.2506,-0.5419,-0.2790,-0.4666
Aurora,-0.4581,-0.4549,-0.3444,+1.0233,-0.3433,-0.2236,+0.0996,+0.1273,-0.2059,+0.6441,-0.1303,-0.2305,-0.1600,+0.6086,+0.0000,+0.2347,+0.4644,-0.0444,+0.1213,+0.8054,+0.1630,+0.4140,+0.2824,-0.0354,-0.1109,+0.4094,+0.3185,+0.0620,+0.2247,+0.1802,+0.4042,+0.4314,+0.2851,+0.2634,+0.4493,+0.4733,+0.4915,+0.4852,+0.4444,+0.1433,+0.4675,+0.4861,+0.6439,+0.4866,+0.3445,+0.1587,+0.4664,+0.3024,+0.0713,+0.2099
Kennen,-0.5795,-0.3026,+0.4180,-0.4230,+0.1430,-0.3152,-0.2464,+0.3383,-0.2318,+0.0594,-0.2283,+0.3319,+0.1675,+0.0957,-0.2347,+0.0000,+0.0071,-0.1429,-0.2639,-0.0421,+0.0289,-0.0658,+0.2430,+0.1957,-0.2387,+0.0888,-0.0656,+0.0429,-0.0194,-0.1652,-0.0276,+0.0252,-0.0970,-0.0712,+0.0335,+0.0208,+0.0126,+0.0022,+0.0278,-0.0915,-0.0347,+0.1233,+0.0227,-0.0735,+0.0078,-0.3066,+0.0392,-0.1318,-0.0514,-0.2300
Rek'Sai,-0.0126,-0.3371,-0.2051,-0.7012,-0.4046,-0.3710,-0.5406,-0.2364,-0.2330,+0.0005,-0.1252,-0.3868,-0.2018,+0.0585,-0.4644,-0.0071,+0.0000,-0.1829,-0.6621,+0.0511,-0.0500,+0.0430,+0.0159,-0.0907,-0.3746,-0.0799,-0.0808,-0.0211,-0.0603,-0.0681,-0.0877,+0.0260,-0.1086,-0.3098,+0.0578,+0.0207,+0.0370,+0.0207,-0.4014,-0.2475,+0.0399,-0.0697,+0.0564,-0.0518,-0.1239,-0.3434,-0.2173,-0.4323,-0.3432,-0.4861
Gragas,-0.5047,-0.4003,-0.2443,-0.1062,+0.4984,-0.4461,+0.4733,+0.2386,-0.3974,+0.0994,-0.2992,+0.8749,-0.4607,+0.1786,+0.0444,+0.1429,+0.1829,+0.0000,-0.0447,+0.0399,+0.0092,+0.1443,+0.1781,+0.0279,-0.1373,+0.1603,+0.1664,+0.1340,+0.1527,-0.1368,-0.1752,-0.0685,-0.0528,+0.0563,+0.1726,+0.1829,+0.0916,+0.1612,-0.0513,-0.0203,+0.2133,+0.0255,+0.1541,+0.1102,+0.0096,-0.0603,+0.0922,+0.1282,+0.1241,-0.0120
Varus,-0.5115,-0.3218,-0.3848,-0.1500,-0.3794,-0.6209,-0.1885,-0.0428,-0.4012,+0.6288,-0.1048,-0.3458,-0.1337,+0.7146,-0.1213,+0.2639,+0.6621,+0.0447,+0.0000,+0.7692,+0.1213,+0.3517,+0.3512,+0.1197,-0.1211,+0.5543,+0.3219,+0.3666,+0.3059,+0.3179,+0.3553,+0.4502,+0.1674,+0.0877,+0.4784,+0.5890,+0.5445,+0.4624,+0.1506,+0.1575,+0.5390,+0.5199,+0.6260,+0.4481,+0.5042,+0.2043,+0.2984,+0.1454,+0.0840,+0.0377
Anivia,-0.6842,-0.6696,-0.3717,-0.5214,-0.4649,-0.7824,-0.5371,-0.6656,-0.5489,-0.0945,-0.3393,-0.2651,-0.3061,+0.1254,-0.8054,+0.0421,-0.0511,-0.0399,-0.7692,+0.0000,-0.0419,+0.0950,+0.1351,-0.0564,-0.4945,+0.0673,-0.0392,+0.0730,-0.0197,+0.0014,-0.0029,-0.0659,+0.0589,-0.3629,+0.0255,+0.1782,-0.0459,+0.1373,-0.5140,-0.0722,+0.1439,+0.0264,+0.0712,-0.0452,+0.0331,-0.4021,-0.1636,-0.5783,-0.5208,-0.4287
