jng\bot,Yunara,Ezreal,Corki,Ashe,Varus,Sivir,Jhin,Caitlyn,Lucian,Kai'Sa,Aphelios,Miss Fortune,Xayah,Jinx,Kalista,Zeri,Smolder,Tristana,Ziggs,Mel,Senna,Draven,Kog'Maw,Vayne,Seraphine,Yasuo,Twitch,Hwei,Nilah
Skarner,+0.4414,-0.1480,-0.1416,+0.0061,+0.1782,-0.4514,-0.1482,-0.1121,+0.1053,-0.3392,+0.1570,-0.0151,-0.0877,-0.4512,+0.2007,-0.2357,+0.0473,+0.0066,-0.0131,+0.3471,+0.2276,+0.2225,+0.3643,+0.5464,+0.4576,+0.6840,+0.6576,+0.2122,+0.4469
Trundle,+0.1246,-0.3450,-0.4291,-0.1090,+0.0054,-0.1303,-0.3510,-0.0192,-0.0498,-0.1414,+0.1527,-0.0281,-0.0795,+0.0040,+0.1246,+0.0080,-0.0143,+0.0882,-0.0663,+0.2957,-0.0854,+0.2652,+0.2237,+0.1913,+0.1304,+0.3385,+0.2888,+0.0860,+0.2955
Ambessa,-0.1127,-0.4403,-0.6166,-0.1129,-0.2116,-0.3803,-0.4133,-0.1022,-0.2532,-0.5204,+0.0190,-0.3015,-0.4864,-0.2279,-0.0796,-0.1950,+0.1079,-0.0927,+0.0186,+0.0740,+0.1155,+0.1372,+0.2518,+0.4284,+0.2725,+0.5009,+0.6219,+0.2693,+0.4685
Zaahen,-0.2924,-0.7435,-0.8573,-0.6370,-1.0077,-0.5310,-0.6935,-0.2956,-0.4055,-0.5150,-0.1638,-0.7862,-0.3608,-0.2996,-0.3783,-0.1008,+0.1107,-0.3124,-0.1787,-0.1791,-0.2080,-0.0927,+0.0869,+0.0724,+0.0698,+0.0592,+0.1680,-0.1669,+0.1253
Qiyana,-0.1642,-0.5687,-0.6533,-0.4422,-0.6276,-0.3834,-0.4370,-0.1132,-0.2684,-0.4763,-0.1497,-0.5745,-0.3957,-0.0821,-0.3612,-0.0253,+0.0829,-0.3639,+0.0732,-0.1136,-0.0141,-0.1434,+0.2592,+0.1268,+0.1778,+0.1608,+0.3452,+0.0632,+0.2158
Jayce,-0.0283,-0.5955,-0.5562,-0.4833,-0.3973,-0.3712,-0.6250,-0.1467,-0.3107,-0.4777,-0.1579,-0.7464,-0.1237,-0.2052,-0.1692,-0.1944,+0.0381,-0.3341,-0.0116,-0.0253,+0.0592,+0.0186,+0.3681,+0.4407,+0.2128,+0.2984,+0.4047,+0.1288,+0.3331
Sejuani,+0.4828,-0.0075,+0.3625,+0.0535,+0.4028,-0.2283,+0.2131,+0.0806,+0.0740,-0.2511,+0.1086,+0.1178,-0.2417,-0.0687,+0.1741,-0.1358,+0.0733,-0.1361,+0.3368,+0.3461,+0.1323,+0.3126,+0.3139,+0.3600,+0.3603,+0.6234,+0.4793,+0.3730,+0.5366
Malphite,-0.4288,-0.5809,-0.5493,-0.3179,-0.5847,-0.2613,-0.3452,+0.1611,-0.4559,-0.4076,-0.0934,-0.3182,-0.3425,-0.0946,-0.3088,+0.0675,-0.0092,-0.3461,-0.1506,-0.1504,-0.1583,-0.0466,+0.1334,+0.1078,+0.0210,+0.0709,+0.1564,-0.0658,+0.1478
Viego,+0.4765,-0.0623,+0.2442,+0.1556,+0.4236,+0.0196,-0.0752,+0.2644,+0.0015,-0.0173,+0.0437,+0.0143,+0.0028,-0.0503,+0.1945,-0.1548,+0.3631,+0.0893,+0.1959,+0.0996,+0.1102,+0.1630,+0.2043,+0.3843,+0.1810,+0.3349,+0.2670,+0.1409,+0.2953
Maokai,+0.5672,-0.1854,+0.0861,-0.2399,+0.1846,-0.5581,-0.2328,-0.1182,-0.0551,-0.1388,+0.1074,-0.2780,+0.0507,-0.3728,+0.2241,-0.2169,+0.0434,+0.1076,+0.0652,-0.0748,+0.1155,+0.1449,+0.3497,+0.4008,+0.2070,+0.3778,+0.3059,+0.1370,+0.4591
Poppy,+0.1091,-0.3657,+0.0733,-0.4923,-0.2305,-0.4468,-0.1044,-0.4548,-0.2022,+0.0921,-0.2373,-0.2748,-0.0008,-0.5733,+0.5431,-0.0283,-0.0898,+0.4939,-0.1723,+0.0152,-0.3452,-0.0954,+0.1328,+0.0695,+0.0313,+0.2582,+0.0972,-0.2073,+0.1034
Kha'Zix,-0.2188,-0.2354,-0.5648,-0.3540,-0.5671,-0.3861,-0.3748,-0.2897,-0.1556,-0.2692,-0.0773,-0.4310,-0.2185,-0.0271,-0.2860,+0.0020,-0.0660,-0.2228,+0.0400,-0.0957,+0.0346,-0.1799,+0.0035,+0.0871,+0.1002,+0.0212,+0.0874,-0.0596,+0.0511
Jax,+0.0683,-0.3532,-0.1492,+0.0227,-0.0611,-0.0264,-0.2739,+0.1990,-0.1809,-0.2616,-0.0321,-0.0789,-0.1373,-0.1020,+0.0220,+0.0529,+0.1074,+0.2090,-0.0014,+0.0943,+0.0209,+0.1173,+0.1534,+0.2771,+0.0799,+0.2263,+0.2483,+0.0413,+0.1266
Nidalee,-0.1204,-0.3864,-0.2959,-0.3227,-0.3057,-0.4599,-0.4787,-0.2711,-0.4593,-0.3692,+0.0958,-0.1660,-0.1338,-0.1321,-0.1459,-0.1217,+0.1760,-0.1779,-0.1806,+0.1544,+0.0693,-0.1054,+0.1214,+0.2850,-0.0213,+0.0154,+0.1571,+0.1606,+0.1328
Olaf,-0.2958,-0.4842,-0.4907,-0.1095,-0.3140,-0.2621,-0.3984,-0.1387,-0.3086,-0.2773,-0.1356,-0.2749,-0.1418,+0.0092,-0.0896,-0.1271,-0.0699,-0.0542,-0.1700,+0.0106,-0.0645,-0.0161,+0.0610,-0.0027,+0.0160,+0.0532,-0.0137,-0.0176,+0.0263
Rek'Sai,-0.3206,-0.7277,-0.6129,-0.5236,-0.8834,-0.4048,-0.5042,-0.1378,-0.3874,-0.3830,-0.0373,-0.6336,-0.3255,-0.2763,-0.2800,-0.0869,+0.0451,-0.2027,-0.1767,-0.1294,-0.1078,-0.0261,+0.0811,+0.0712,-0.0841,+0.0488,+0.0715,-0.2391,+0.0122
Sylas,-0.0718,-0.4302,-0.5224,+0.0326,-0.0784,-0.1969,-0.3255,-0.1007,-0.2673,-0.2254,-0.1201,-0.3270,-0.2695,-0.0832,-0.2002,+0.0458,-0.0504,-0.2568,-0.0622,+0.0501,-0.0559,-0.1379,+0.0295,+0.0908,+0.2066,+0.0927,+0.1995,-0.0322,+0.0995
Volibear,-0.1976,-0.3227,-0.2008,-0.2737,-0.3002,-0.0916,-0.1157,-0.0719,-0.2120,-0.1173,-0.2147,-0.0554,-0.0981,-0.0839,-0.0438,+0.0787,-0.1208,-0.0716,-0.1413,+0.0263,+0.0481,-0.1134,+0.1417,+0.0899,+0.0564,+0.1400,+0.1371,+0.0678,+0.1335
Zyra,-0.0250,-0.4195,-0.3119,-0.3867,-0.2716,-0.3538,-0.3970,-0.3546,-0.2982,-0.4350,-0.1267,-0.4495,-0.0775,-0.2064,+0.0822,-0.0922,+0.2696,-0.2374,-0.1286,-0.1230,+0.0249,+0.0824,+0.2012,+0.4034,+0.0091,+0.1442,+0.3319,-0.0269,+0.2980
Shen,-0.4160,-0.5379,-0.6052,-0.5666,-0.7834,-0.3639,-0.3314,-0.1709,-0.2933,-0.2244,-0.2264,-0.3525,-0.2474,-0.2270,-0.2069,-0.0827,-0.0935,-0.0969,-0.2734,-0.2082,-0.0813,-0.0753,+0.0318,-0.0179,-0.0862,-0.0741,-0.0837,-0.1826,-0.0939
Kindred,-0.2079,-0.3742,-0.2795,-0.4097,-0.2276,-0.0661,-0.2554,-0.4301,-0.2540,-0.0123,-0.0689,-0.0609,-0.3054,+0.0112,-0.0004,-0.0408,+0.0499,-0.1017,-0.0901,+0.0184,+0.1212,-0.1180,+0.0051,+0.0629,-0.1192,+0.1428,+0.1394,-0.0821,+0.1636
Taliyah,-0.0476,-0.7345,-0.4262,-0.4255,-0.4861,-0.4151,-0.5163,-0.1877,-0.2912,-0.3877,+0.0577,-0.3827,-0.2350,-0.2203,+0.2178,-0.1333,+0.1665,-0.1142,-0.2173,+0.0849,-0.1096,+0.1520,+0.2787,+0.4961,+0.1347,+0.4072,+0.3170,-0.0305,+0.3770
Diana,-0.3477,-0.5002,-0.5792,-0.4172,-0.6641,-0.4374,-0.6038,-0.1575,-0.5463,-0.3983,-0.1299,-0.4199,-0.3099,-0.1896,-0.2243,-0.0568,-0.0670,-0.2776,-0.1946,-0.0954,-0.0773,-0.0826,+0.0792,+0.1508,-0.0511,+0.0738,+0.1137,-0.2225,+0.1305
Gwen,-0.0557,-0.6389,-0.4688,-0.3799,-0.4902,-0.2893,-0.5316,-0.1863,-0.4947,-0.4141,-0.0335,-0.3788,-0.3251,-0.0421,-0.2184,-0.0653,+0.1083,-0.1174,-0.0400,+0.0796,-0.2041,+0.0871,+0.1534,+0.2741,+0.0613,+0.2811,+0.2516,+0.0533,+0.2769
Lillia,-0.0624,-0.3951,-0.1952,-0.4215,-0.1457,-0.2374,-0.3169,-0.3295,-0.1670,-0.1665,+0.1067,-0.1447,-0.1925,+0.0041,+0.0546,-0.2876,+0.1721,-0.1099,+0.0741,-0.0181,+0.1043,+0.1425,+0.0596,+0.2655,-0.0300,+0.1212,+0.0831,-0.0119,+0.1614
Graves,-0.4580,-0.4924,-0.7923,-0.5348,-0.9373,-0.3981,-0.5001,-0.2552,-0.4632,-0.4168,-0.1874,-0.6891,-0.3302,-0.2276,-0.4097,-0.0878,-0.0371,-0.3475,-0.3006,-0.1764,-0.1753,-0.0880,+0.0901,+0.0854,-0.0484,+0.0239,+0.0467,-0.1569,+0.0243
Hecarim,-0.6237,-0.5932,-0.7493,-0.5735,-0.8715,-0.3131,-0.5344,-0.3199,-0.5301,-0.4251,-0.2210,-0.6313,-0.2493,-0.1609,-0.3313,-0.2245,-0.0012,-0.3173,-0.2001,-0.2339,-0.1175,-0.1280,-0.0177,+0.0690,+0.0112,+0.0239,+0.0638,-0.1561,+0.0705
Ivern,-0.1228,-0.5425,-0.4273,-0.3706,-0.5957,-0.4401,-0.5325,-0.4338,-0.2154,-0.3836,-0.0371,-0.5573,-0.1663,-0.3833,-0.0710,-0.1025,-0.0904,-0.0365,-0.0629,-0.0937,-0.0134,+0.0993,+0.1461,+0.2988,-0.0776,+0.1607,+0.1179,-0.0290,+0.3431
Nunu & Willump,-0.5137,-0.7335,-0.7765,-0.6656,-0.9736,-0.4865,-0.5873,-0.3976,-0.4965,-0.5082,-0.2170,-0.6406,-0.3008,-0.2147,-0.3066,-0.1124,+0.0559,-0.3087,-0.1782,-0.2245,-0.1970,-0.1461,+0.1077,+0.1716,-0.0145,+0.0335,+0.0748,-0.1695,+0.0935
Shyvana,-0.5898,-0.6937,-0.7178,-0.5004,-0.9090,-0.4779,-0.5974,-0.3968,-0.4784,-0.3619,-0.3441,-0.5298,-0.2656,-0.2593,-0.2521,-0.1325,-0.0415,-0.1462,-0.1733,-0.1724,-0.1583,-0.0271,-0.0246,+0.0513,-0.1468,+0.0077,+0.0190,-0.1632,+0.0151
Zac,-0.5090,-0.5375,-0.6604,-0.5086,-0.6633,-0.3852,-0.5218,-0.1188,-0.4355,-0.4611,-0.2398,-0.4187,-0.1989,-0.1801,-0.3219,-0.1241,-0.0499,-0.2312,-0.1389,-0.1125,-0.0829,-0.1395,+0.1016,+0.1313,-0.1032,+0.0638,+0.0723,-0.0997,+0.0041
Darius,-0.5720,-0.7136,-0.7197,-0.7733,-0.9713,-0.3354,-0.5802,-0.5120,-0.5213,-0.2903,-0.1811,-0.5629,-0.3112,-0.2930,-0.3163,-0.1999,-0.1629,-0.2559,-0.2898,-0.1979,-0.2326,-0.1190,+0.0431,+0.0958,-0.1049,-0.0558,+0.0051,-0.2825,+0.0277
Brand,-0.3103,-0.5451,-0.4824,-0.4824,-0.5836,-0.3758,-0.6295,-0.3672,-0.3635,-0.3029,-0.3083,-0.5352,-0.1150,-0.2088,-0.1356,-0.1836,+0.0162,-0.2370,-0.2066,-0.1673,-0.2001,-0.0673,+0.1153,+0.1036,-0.2100,+0.0240,+0.0285,-0.0861,+0.1264
Karthus,-0.4944,-0.5674,-0.5987,-0.5677,-0.8569,-0.6234,-0.3471,-0.3298,-0.5693,-0.4584,-0.3313,-0.4508,-0.2628,-0.2534,-0.2016,-0.2291,+0.0294,-0.3289,-0.2029,-0.1786,-0.1966,-0.0718,+0.0801,+0.0746,-0.0921,-0.0158,+0.0369,-0.1641,+0.0402
Morgana,-0.4675,-0.8507,-0.7224,-0.6807,-1.0704,-0.5021,-0.8349,-0.4958,-0.6233,-0.3874,-0.2328,-0.7401,-0.2959,-0.4023,-0.3018,-0.2036,-0.0183,-0.2569,-0.4087,-0.2487,-0.2750,-0.1476,+0.0859,+0.0907,-0.1964,+0.0396,+0.0332,-0.1900,+0.0584
Zed,-0.3074,-0.7267,-0.5623,-0.5024,-0.4705,-0.4767,-0.4114,-0.1940,-0.4151,-0.4004,-0.2510,-0.5417,-0.1803,-0.1121,-0.2069,-0.1421,+0.1323,-0.1093,+0.0488,-0.1190,+0.0914,+0.0737,+0.0398,+0.1571,-0.0855,+0.0384,+0.1079,-0.0180,+0.1782
Amumu,-0.5976,-0.5149,-0.6008,-0.5797,-1.0505,-0.3125,-0.4294,-0.3972,-0.4466,-0.3197,-0.3250,-0.3952,-0.4940,-0.1818,-0.2455,+0.1632,-0.0219,-0.3514,-0.0939,-0.1861,-0.1538,-0.0449,+0.0334,-0.0218,-0.1852,-0.1120,+0.0292,-0.1588,-0.0635
Bel'Veth,-0.6723,-0.4472,-0.7076,-0.5971,-1.0262,-0.4465,-0.4003,-0.3718,-0.5486,-0.3630,-0.1752,-0.4621,-0.2844,-0.2313,-0.2064,-0.1350,-0.0029,-0.2716,-0.2694,-0.1567,-0.2158,-0.1578,-0.0682,-0.0362,-0.1653,-0.0571,-0.0435,-0.1910,-0.0764
