jng\mid,Ryze,Ahri,Aurora,Azir,Orianna,Viktor,Taliyah,Akali,Annie,Syndra,Galio,Anivia,Cassiopeia,Yone,LeBlanc,Mel,Sylas,Hwei,Twisted Fate,Zoe,Lissandra,Aurelion Sol,Jayce,Ziggs,Yasuo,Swain,Sion
Zaahen,-0.0931,+0.1997,+0.3113,-0.1558,+0.0539,+0.0208,+0.0216,+0.0098,-0.2449,+0.1353,+0.3214,-0.0548,-0.1409,-0.0967,+0.1027,-0.0428,+0.1541,-0.0622,-0.2288,+0.0065,+0.0008,+0.0209,-0.0824,+0.0881,-0.0225,+0.0865,-0.0289
Qiyana,+0.1429,-0.0991,+0.2162,+0.2465,-0.1386,-0.1605,+0.0318,+0.0119,+0.2024,+0.1356,+0.2608,-0.1253,+0.4020,-0.1679,+0.0583,-0.0773,+0.0939,+0.0545,+0.0485,+0.1283,+0.1679,+0.0637,+0.1559,+0.1050,-0.0458,+0.0580,+0.3695
Jayce,+0.2361,+0.0844,+0.1713,+0.2241,-0.1202,-0.0971,+0.1693,+0.0533,-0.0488,+0.1065,-0.0298,-0.0868,+0.5545,+0.4025,+0.0043,+0.0453,+0.0845,+0.0274,+0.1946,+0.0966,+0.1989,+0.0154,+0.8801,+0.4544,+0.1400,+0.1310,+0.1705
Sejuani,-0.1307,-0.0448,-0.1598,+0.2135,-0.2670,+0.2397,-0.2866,+0.5226,-0.1072,+0.0435,+0.0274,-0.2173,-0.2896,+2.2563,-0.1557,+0.2715,+0.3056,-0.1225,+0.2346,+0.4440,+0.0698,+0.1432,+0.3302,+0.4231,+0.4803,+0.6192,-0.0107
Malphite,-0.1075,+0.0682,+0.0251,-0.1439,-0.0935,+0.0559,+0.2486,+0.0782,-0.1690,+0.0979,+0.1333,-0.0591,+0.2983,+0.1664,+0.1898,-0.0521,+0.3340,+0.2868,+0.0110,+0.3229,+0.1672,+0.1189,+0.2363,-0.0017,+0.4257,+0.1306,+0.0648
Viego,-0.0818,+0.3077,-0.0185,-0.0508,-0.2917,+0.0232,+0.3240,-0.0117,+0.0345,+0.0890,+0.5895,-0.0827,+0.1715,+0.2471,+0.2044,-0.1319,+0.3355,+0.2665,-0.1608,+0.1348,+0.0349,+0.2970,-0.0069,+0.0934,+0.1139,+0.1896,+0.2867
Maokai,-0.3617,-0.1855,-0.2709,-0.0108,-0.5197,+0.3582,-0.5225,+0.2955,-0.1841,+0.0651,-0.1173,-0.0663,-0.0413,+2.1591,-0.0238,+0.3880,+0.2474,-0.0441,+0.0695,+0.3913,+0.0995,+0.3633,+0.5436,+0.5273,+0.4175,+0.5796,+0.0550
Poppy,-0.0246,-0.0098,-0.1230,+0.1939,+0.0894,+0.0402,-0.3458,+0.0037,+0.3018,+0.0732,+0.2136,-0.0735,+0.3883,+0.0783,+0.3243,+0.2161,+0.1022,+0.2373,+0.2740,+0.3194,+0.1407,+0.2825,+0.2565,+0.1895,+0.0743,+0.1923,+0.1592
Kha'Zix,+0.0943,+0.1745,+0.0941,-0.0677,+0.0745,+0.1022,-0.0711,+0.0157,+0.2122,-0.0184,+0.0090,+0.0271,-0.0117,+0.0643,+0.1155,+0.3477,-0.0044,-0.1627,+0.0919,+0.0250,-0.0428,+0.2008,-0.0168,-0.0490,-0.1519,+0.0702,+0.2017
Jax,-0.1428,+0.0080,-0.0809,+0.2022,+0.2167,+0.2995,-0.2188,+0.2507,+0.4826,+0.1233,+0.1094,-0.0613,-0.0864,+0.4312,+0.1327,+0.3483,+0.2025,+0.1174,+0.1535,+0.2326,+0.0593,+0.2565,-0.0176,+0.0460,-0.0948,+0.3543,+0.0938
Nidalee,-0.2951,-0.0269,-0.1737,-0.0827,-0.2800,-0.1801,-0.1049,+0.2795,-0.0615,+0.1157,+0.1374,-0.2757,+0.0867,+0.7813,-0.0194,+0.2446,+0.1110,-0.2291,+0.2284,+0.3303,+0.2346,+0.1620,+0.3626,+0.4852,+0.1616,+0.3315,+0.0983
Olaf,-0.3040,+0.0455,+0.0155,-0.3360,-0.1009,-0.0618,+0.0127,+0.2314,+0.2604,+0.0610,+0.1962,-0.0957,+0.1814,-0.0221,-0.0463,+0.0757,-0.0176,-0.0985,+0.1146,+0.2233,+0.2430,+0.1582,+0.0731,+0.2330,-0.2381,+0.0800,+0.2080
Rek'Sai,+0.0911,+0.0505,-0.0781,+0.0557,-0.0146,+0.0124,-0.1507,-0.0509,+0.2041,+0.0231,+0.0576,-0.1168,+0.2381,+0.2728,+0.0920,+0.0766,+0.0421,+0.0755,-0.1189,+0.0672,-0.0764,+0.0558,+0.2714,+0.0735,-0.0061,+0.1401,+0.2802
Sylas,-0.1150,-0.1786,-0.0667,+0.1321,-0.2175,+0.0616,+0.0601,+0.0803,-0.0750,+0.1228,+0.0502,-0.0773,+0.0452,+0.2502,+0.1196,-0.1833,+0.7541,+0.1760,+0.0224,+0.1077,+0.1007,+0.1017,+0.0880,+0.1558,+0.2142,+0.1714,+0.0924
Volibear,-0.0596,-0.0965,-0.0244,+0.0563,-0.1803,-0.0597,+0.0782,+0.0438,-0.1621,+0.1444,+0.1623,-0.0083,-0.0567,+0.2079,+0.1701,+0.0239,+0.1874,+0.0769,-0.0317,+0.1856,+0.1354,+0.2375,+0.1229,+0.2125,+0.1327,+0.0611,+0.1421
Zyra,-0.0497,-0.1920,-0.2577,+0.3422,-0.2214,+0.2011,-0.1905,+0.1075,-0.0433,+0.1826,+0.0012,+0.1616,-0.0370,+1.4725,+0.1007,+0.2116,+0.4360,+0.2973,+0.2544,+0.1953,+0.0244,+0.1981,+0.3573,+0.2057,+0.4485,+0.4694,+0.1848
Shen,-0.2167,+0.1613,+0.0590,-0.0482,+0.0286,-0.0381,+0.0793,+0.0794,+0.0456,-0.0594,+0.0315,+0.0317,-0.1647,+0.2014,-0.0294,-0.0679,+0.0680,+0.1585,+0.1301,+0.2293,+0.0875,+0.1500,-0.0678,+0.0940,+0.1902,+0.0545,+0.1091
