top\bot,Yunara,Ezreal,Corki,Ashe,Varus,Sivir,Jhin,Caitlyn,Lucian,Kai'Sa,Aphelios,Miss Fortune,Xayah,Jinx,Kalista,Zeri,Smolder,Tristana,Ziggs,Mel,Senna,Draven,Kog'Maw,Vayne
Yorick,-0.0740,-0.1249,-0.4440,-0.0058,+0.1981,-0.0029,+0.3567,+0.0104,-0.4774,+0.3284,-0.1126,+0.3805,-0.2788,+0.1258,+0.2102,+0.2161,-0.0329,-0.0167,-0.0058,-0.0696,-0.1678,-0.0620,-0.1769,+0.0265
Jax,-0.5610,-0.4031,+0.1508,-0.7707,+0.2601,-0.2970,-0.0334,+0.0696,+0.1329,-0.1202,+0.1563,+0.2987,+0.6088,+0.1005,+0.3749,+0.0868,+0.0751,+0.2403,+0.1203,+0.3946,+0.0383,+0.1881,+0.1242,+0.1402
Aatrox,+0.0111,+0.1011,+0.1462,+0.0701,+0.1497,+0.1072,+0.0545,-0.2703,-0.3031,+0.1494,-0.0709,+0.4146,+0.4242,+0.4644,-0.1595,+0.1499,+0.4226,+0.3237,+0.1546,-0.2368,+0.1330,+0.2482,-0.0894,+0.0390
Vayne,-0.2821,+0.1150,-0.2019,+0.0026,-0.1990,-0.0629,+0.0795,+0.1855,-0.1785,-0.0749,-0.0084,-0.0834,+0.3109,+0.2627,+0.5944,+0.0449,+0.2694,+0.0509,+0.2058,-0.0892,-0.0152,-0.0801,+0.0539,+0.7086
Aurora,-0.2613,+0.1197,+0.1688,-0.1610,-0.1371,-0.1866,-0.0437,-0.2864,+0.0157,+0.0575,-0.1898,+0.1591,-0.1871,-0.1861,+0.1200,+0.0080,+0.0160,-0.0080,+0.2411,-0.0430,-0.0458,+0.1294,-0.1360,-0.0009
Kennen,+0.1570,-0.3765,+0.1064,-0.7508,-0.1090,+0.0043,-0.3220,-0.4817,-0.0358,+0.0535,-0.0221,-0.3211,+0.5188,-0.0761,+0.2001,-0.1151,+0.1269,+0.3175,+0.2684,+0.1585,+0.1355,+0.0386,+0.1946,+0.0612
Rek'Sai,-0.3281,-0.5193,-0.1957,-0.1647,-0.0013,-0.2277,+0.0119,-0.2053,-0.2634,-0.0191,+0.0827,+0.3346,+0.3934,+0.0030,+0.4785,-0.0269,-0.1135,+0.0640,+0.1358,+0.0592,-0.0071,-0.0366,-0.1002,+0.0248
Gragas,-0.3639,-0.1186,-0.0265,-0.4190,+0.5221,-0.1553,+0.0873,-0.1191,-0.4466,+0.1725,-0.3536,+0.4023,+0.7084,+0.0779,+0.7788,+0.0043,+0.2184,+0.4099,+0.0894,-0.0687,+0.0532,-0.0044,+0.0236,+0.2012
Varus,-0.4429,-0.0684,-0.2365,-0.5358,+1.3319,-0.1650,+0.2379,-0.3163,-0.4533,+0.0898,-0.1854,+0.1308,+0.1508,-0.3057,+0.2178,+0.0064,+0.0619,-0.0526,+0.1163,-0.0541,+0.1303,+0.0603,-0.2281,-0.0538
Anivia,+0.0367,-0.0654,-0.1127,-0.1499,+0.4080,-0.0318,+0.3680,+0.2494,+0.0691,+0.2239,+0.0009,+0.0626,-0.3698,-0.1219,+0.1268,+0.3565,+0.0144,+0.1646,-0.2591,+0.0802,-0.0271,+0.0041,+0.0267,+0.0909
Olaf,-0.3134,-0.3956,-0.3348,-0.1192,-0.1577,-0.2955,-0.1092,-0.4272,+0.2110,+0.4431,-0.1170,+0.5486,+0.0779,+0.1400,+0.3154,+0.0107,-0.2021,+0.1569,+0.3330,+0.1627,+0.1775,+0.2314,+0.0171,+0.0494
Malphite,-0.4214,-0.4562,+0.3559,-0.2827,-0.1253,-0.3861,-0.1694,-0.3084,+0.4325,+0.2334,-0.2699,+0.0554,+0.2071,+0.1253,+0.2741,+0.3094,+0.3607,+0.3924,+0.2260,-0.0635,-0.0310,+0.1351,+0.0226,+0.1522
Shen,-0.0782,-0.5373,-0.5943,-0.3894,-0.2363,-0.1615,-0.4865,-0.4223,+0.3135,+0.1791,+0.1074,-0.1623,+0.3702,+0.0354,+0.8419,-0.0236,-0.0253,+0.2323,+0.2171,+0.0643,+0.0105,+0.0484,+0.2546,+0.2249
Camille,-0.5420,-0.2947,+0.5801,-0.3400,-0.0064,-0.4096,-0.2292,-0.4524,+0.2428,+0.1667,-0.2974,+0.2591,-0.0320,-0.0143,+0.2092,+0.0322,-0.1433,+0.2756,+0.4013,+0.2224,+0.3458,+0.5864,+0.0733,-0.0066
Galio,-0.1662,+0.0116,-0.1807,-0.5780,-0.0610,+0.0025,-0.1198,-0.1570,-0.2384,+0.1264,+0.0201,+0.0431,+0.2136,+0.2703,+0.3331,+0.0811,+0.0605,+0.1687,+0.1431,-0.1407,-0.2605,+0.1879,+0.1186,+0.1893
Fiora,-0.5656,-0.0175,-0.1307,-0.3825,+0.1608,-0.4304,+0.0367,-0.1572,-0.2618,-0.3105,-0.0058,-0.1193,+0.0851,+0.1042,+0.3982,-0.3306,+0.1404,+0.1212,+0.3100,-0.0587,+0.1897,-0.0741,+0.0018,+0.1806
Irelia,-0.4263,-0.4558,-0.3286,-0.3705,-0.0594,-0.2340,-0.0938,+0.0320,+0.3605,-0.0827,-0.1059,+0.0064,+0.1410,+0.1584,+0.3034,+0.0615,-0.0291,+0.3900,+0.3147,+0.2165,+0.0661,+0.1370,+0.0780,+0.0894
Poppy,-0.3594,-0.3395,-0.2039,-0.4116,-0.1350,-0.1639,+0.0120,+0.0337,-0.3378,-0.0546,+0.2071,+0.2078,+0.3508,+0.3773,+0.5695,+0.1924,+0.1468,+0.2137,+0.3091,+0.1128,-0.0113,+0.0762,+0.0951,+0.1937
Volibear,-0.5953,-0.2033,+0.0021,-0.2197,-0.1000,-0.4394,-0.2571,-0.2736,+0.2877,-0.2586,+0.1418,-0.1698,+0.1528,-0.0281,+0.3861,-0.1596,+0.1272,+0.1000,+0.2721,+0.0725,+0.0958,+0.2332,+0.0119,+0.1105
Dr. Mundo,+0.0941,-0.0107,+0.3485,-0.2832,+0.1664,-0.0619,+0.0933,-0.1084,-0.3491,+0.2978,+0.1376,+0.0090,+0.1201,+0.3911,+0.1450,+0.3382,+0.0439,+0.5197,-0.0726,+0.0904,-0.0718,+0.1595,+0.3145,+0.0992
Cho'Gath,-0.3284,-0.2745,-0.0962,-0.4477,-0.0344,-0.1633,-0.1835,-0.1773,+0.0549,+0.0010,-0.1461,-0.2023,+0.2958,-0.0126,+0.2649,+0.0193,-0.0343,+0.1925,+0.2196,-0.0360,-0.0558,-0.1265,+0.0037,+0.0516
Mordekaiser,-0.5397,-0.0441,-0.0715,-0.6525,-0.1170,-0.2904,+0.2029,-0.0476,-0.2754,+0.2287,-0.1995,+0.1630,-0.0301,+0.0954,+0.1600,-0.1692,+0.0112,+0.2104,+0.3189,-0.0159,+0.1040,+0.1383,+0.2077,+0.1914
