champ,role,strength,pick_count,pick_rate,ban_count,ban_rate
Ziggs,bot,-0.2380,70,0.0190,116,0.0315
Varus,top,+0.3435,69,0.0187,1696,0.4601
Anivia,sup,-0.4643,63,0.0171,320,0.0868
Poppy,jng,-0.5814,62,0.0168,402,0.1091
Yuumi,sup,-0.5007,59,0.0160,12,0.0033
Olaf,top,-0.5590,57,0.0155,114,0.0309
Anivia,top,-0.2432,57,0.0155,320,0.0868
Malphite,top,-0.4992,55,0.0149,504,0.1367
Mel,bot,-0.4599,54,0.0147,246,0.0667
Shen,top,-0.3448,53,0.0144,51,0.0138
Senna,bot,-0.2166,52,0.0141,21,0.0057
Camille,top,-0.8054,49,0.0133,31,0.0084
Blitzcrank,sup,-0.5548,46,0.0125,36,0.0098
Lissandra,mid,-0.6236,45,0.0122,27,0.0073
Aurelion Sol,mid,-0.6123,38,0.0103,52,0.0141
Elise,sup,-0.5961,38,0.0103,29,0.0079
Galio,top,-0.7540,37,0.0100,244,0.0662
Fiora,top,-0.7320,36,0.0098,105,0.0285
Kha'Zix,jng,-0.7087,36,0.0098,14,0.0038
Irelia,top,-0.6278,36,0.0098,63,0.0171
Poppy,top,-0.8811,33,0.0090,402,0.1091
Jax,jng,-0.8162,33,0.0090,189,0.0513
Volibear,top,-0.8368,32,0.0087,27,0.0073
Dr. Mundo,top,-0.8232,30,0.0081,360,0.0977
Nidalee,jng,-0.7376,29,0.0079,24,0.0065
Jayce,mid,-0.6172,28,0.0076,947,0.2569
Olaf,jng,-0.5490,28,0.0076,114,0.0309
Rek'Sai,jng,-0.3895,28,0.0076,29,0.0079
Draven,bot,-0.4777,27,0.0073,39,0.0106
Ziggs,mid,-0.8832,26,0.0071,116,0.0315
Cho'Gath,top,-0.7313,26,0.0071,19,0.0052
Kog'Maw,bot,-0.4806,25,0.0068,25,0.0068
Sylas,jng,-0.9092,24,0.0065,241,0.0654
Mordekaiser,top,-0.7778,24,0.0065,4,0.0011
Volibear,jng,-0.9673,23,0.0062,27,0.0073
Lux,sup,-0.3906,23,0.0062,38,0.0103
Yasuo,mid,-0.4304,22,0.0060,82,0.0222
Swain,mid,-0.9146,21,0.0057,11,0.0030
Sion,mid,-0.8955,20,0.0054,501,0.1359
Shen,sup,-0.8080,20,0.0054,51,0.0138
Zyra,jng,-0.6616,20,0.0054,21,0.0057
Vayne,bot,-0.9751,19,0.0052,250,0.0678
Shen,jng,-0.8319,18,0.0049,51,0.0138
